cluster,pro,reg,sci,TF_IDF_topic_name,percentage_of_documents,percentage_limit,Topic_terms
19,3,14,1,"electricity grid, 0.0250, 10, 49 ; bornholm electricity, 0.0223, 7, 31 ; bornholm electricity grid, 0.0182, 7, 23 ; electricity prices, 0.0114, 3, 7 ; niels chresten andersen, 0.0093, 1, 9",0.3926,1.0,electricity grid ; bornholm electricity ; bornholm electricity grid ; electricity prices ; niels chresten andersen
20,1,22,0,"land plant, 0.0158, 13, 35 ; nuclear power, 0.0119, 2, 27 ; citizens association, 0.0118, 0, 0 ; architectural competition, 0.0102, 4, 11 ; citizens meeting, 0.0101, 0, 0",0.2348,1.0,land plant ; nuclear power ; citizens association ; architectural competition ; citizens meeting
21,1,8,0,"nuclear power, 0.0601, 2, 26 ; association energy islands, 0.0197, 2, 5 ; association energy, 0.0193, 2, 5 ; peter juel jensen, 0.0184, 0, 0 ; juel jensen, 0.0183, 0, 0",0.1778,0.0,nuclear power ; association energy islands ; association energy ; peter juel jensen ; juel jensen
22,0,5,0,"bornholm museum, 0.1702, 5, 29 ; finn ole, 0.0885, 1, 25 ; ole sonne, 0.0607, 1, 19 ; peter juel jensen, 0.0306, 0, 0 ; juel jensen, 0.0304, 0, 0",0.4267,1.0,bornholm museum ; finn ole ; ole sonne ; peter juel jensen ; juel jensen
23,0,11,0,"next year, 0.0288, 4, 6 ; baltic sea, 0.0271, 6, 21 ; henrik espersen, 0.0263, 1, 11 ; baltic bridge, 0.0224, 1, 7 ; peter juel jensen, 0.0198, 1, 1",0.303,1.0,next year ; baltic sea ; henrik espersen ; baltic bridge ; peter juel jensen
24,4,13,0,"local plan, 0.0326, 3, 7 ; large scale, 0.0167, 0, 0 ; wind turbines, 0.0150, 10, 24 ; green transition, 0.0118, 7, 11 ; wind turbine, 0.0115, 12, 37",0.2784,1.0,local plan ; large scale ; wind turbines ; green transition ; wind turbine
25,0,7,0,"debate salon, 0.0382, 1, 4 ; national assembly, 0.0288, 2, 4 ; citizens meeting, 0.0242, 0, 0 ; citizens association, 0.0233, 0, 0 ; association energy islands, 0.0213, 3, 9",0.1524,0.0,debate salon ; national assembly ; citizens meeting ; citizens association ; association energy islands
26,0,21,0,"municipal elections, 0.0211, 1, 1 ; election campaign, 0.0192, 1, 1 ; energy island, 0.0150, 21, 115 ; net east, 0.0129, 1, 4 ; frederik tolstrup, 0.0128, 1, 8",0.2381,1.0,municipal elections ; election campaign ; energy island ; net east ; frederik tolstrup
27,4,7,2,"cost effective, 0.0314, 0, 0 ; north sea, 0.0251, 4, 10 ; million ton, 0.0220, 1, 1 ; energy islands, 0.0181, 9, 25 ; long term, 0.0179, 0, 0",0.1897,0.0,cost effective ; north sea ; million ton ; energy islands ; long term
28,2,17,0,"drinking water, 0.0188, 2, 11 ; campus bornholm, 0.0159, 2, 7 ; regional municipality, 0.0130, 9, 20 ; business park, 0.0102, 4, 33 ; jens hjul nielsen, 0.0102, 0, 0",0.186,0.0,drinking water ; campus bornholm ; regional municipality ; business park ; jens hjul nielsen
