Source,cluster,x,y,TF_IDF_topic_name,BERTopic_topic_name
reg,4,6.356777,4.288617,realli good green transit green island design area green busi,bornholm energi island green municip
reg,3,7.0283027,1.1811987,social democraci social democrat ann thoma top candid elect campaign,bornholm say also municip social
reg,0,7.9556623,5.495857,electr grid hydrogen product bornholm electr surplu heat district heat,bornholm energi electr island connect
reg,4,7.0045037,4.063676,realli good green transit green island design area green busi,bornholm energi island green municip
reg,4,7.0857472,3.9870672,realli good green transit green island design area green busi,bornholm energi island green municip
reg,19,7.1881323,7.0273337,danish energi agenc energi agenc danish energi offshor wind wind farm,energi wind bornholm offshor danish
reg,6,6.686713,6.463428,baltic sea rønne harbor ga station offshor wind north sea,bornholm energi wind sea island
reg,7,6.5747814,5.697346,baltic sea north sea energi island green energi island baltic sea,bornholm energi island sea green
reg,6,7.317537,6.6806755,baltic sea rønne harbor ga station offshor wind north sea,bornholm energi wind sea island
reg,0,8.183066,6.7178154,electr grid hydrogen product bornholm electr surplu heat district heat,bornholm energi electr island connect
reg,6,7.556724,6.740745,baltic sea rønne harbor ga station offshor wind north sea,bornholm energi wind sea island
reg,8,6.3139005,3.596894,labor market center bornholm busi center busi center bornholm bornholm compani,bornholm energi busi island compani
reg,1,5.2798862,4.9512906,energiø bornholm energi island 10 million 31 billion think tank,energi bornholm island project say
reg,7,6.600285,5.7459416,baltic sea north sea energi island green energi island baltic sea,bornholm energi island sea green
reg,7,6.649519,5.663121,baltic sea north sea energi island green energi island baltic sea,bornholm energi island sea green
reg,1,5.083344,5.0965066,energiø bornholm energi island 10 million 31 billion think tank,energi bornholm island project say
reg,5,7.258416,7.5037704,offshor wind bornholm offshor wind bornholm offshor wind turbin wind farm,bornholm wind energi offshor project
reg,1,4.965797,5.1384687,energiø bornholm energi island 10 million 31 billion think tank,energi bornholm island project say
reg,5,7.4281406,7.3936324,offshor wind bornholm offshor wind bornholm offshor wind turbin wind farm,bornholm wind energi offshor project
reg,7,6.368838,6.3292036,baltic sea north sea energi island green energi island baltic sea,bornholm energi island sea green
reg,4,6.923804,4.011441,realli good green transit green island design area green busi,bornholm energi island green municip
reg,0,8.165517,6.2773886,electr grid hydrogen product bornholm electr surplu heat district heat,bornholm energi electr island connect
reg,3,7.1513453,1.454654,social democraci social democrat ann thoma top candid elect campaign,bornholm say also municip social
reg,6,6.6142488,6.505514,baltic sea rønne harbor ga station offshor wind north sea,bornholm energi wind sea island
reg,6,6.954671,6.544914,baltic sea rønne harbor ga station offshor wind north sea,bornholm energi wind sea island
reg,1,4.9888105,4.7254567,energiø bornholm energi island 10 million 31 billion think tank,energi bornholm island project say
reg,8,5.551176,3.324471,labor market center bornholm busi center busi center bornholm bornholm compani,bornholm energi busi island compani
reg,5,7.419342,7.453759,offshor wind bornholm offshor wind bornholm offshor wind turbin wind farm,bornholm wind energi offshor project
reg,5,7.4750247,7.8451033,offshor wind bornholm offshor wind bornholm offshor wind turbin wind farm,bornholm wind energi offshor project
reg,3,6.661683,1.0972058,social democraci social democrat ann thoma top candid elect campaign,bornholm say also municip social
reg,1,5.1791167,4.8946376,energiø bornholm energi island 10 million 31 billion think tank,energi bornholm island project say
reg,8,5.775348,3.4001431,labor market center bornholm busi center busi center bornholm bornholm compani,bornholm energi busi island compani
reg,8,5.720722,3.5808175,labor market center bornholm busi center busi center bornholm bornholm compani,bornholm energi busi island compani
reg,6,6.9169936,6.576907,baltic sea rønne harbor ga station offshor wind north sea,bornholm energi wind sea island
reg,8,6.3374095,3.6646123,labor market center bornholm busi center busi center bornholm bornholm compani,bornholm energi busi island compani
reg,0,7.7786036,6.745543,electr grid hydrogen product bornholm electr surplu heat district heat,bornholm energi electr island connect
reg,7,6.348267,5.85208,baltic sea north sea energi island green energi island baltic sea,bornholm energi island sea green
reg,7,6.750953,5.9642787,baltic sea north sea energi island green energi island baltic sea,bornholm energi island sea green
reg,8,5.6511374,3.2410612,labor market center bornholm busi center busi center bornholm bornholm compani,bornholm energi busi island compani
reg,4,7.575397,4.086317,realli good green transit green island design area green busi,bornholm energi island green municip
reg,19,6.8478465,7.253205,danish energi agenc energi agenc danish energi offshor wind wind farm,energi wind bornholm offshor danish
reg,8,5.6126785,3.11203,labor market center bornholm busi center busi center bornholm bornholm compani,bornholm energi busi island compani
reg,7,7.308593,5.7190576,baltic sea north sea energi island green energi island baltic sea,bornholm energi island sea green
reg,8,5.575556,3.1487937,labor market center bornholm busi center busi center bornholm bornholm compani,bornholm energi busi island compani
reg,4,7.049063,4.117745,realli good green transit green island design area green busi,bornholm energi island green municip
reg,6,7.359728,6.607694,baltic sea rønne harbor ga station offshor wind north sea,bornholm energi wind sea island
reg,0,8.447844,6.7746863,electr grid hydrogen product bornholm electr surplu heat district heat,bornholm energi electr island connect
reg,4,7.3829093,3.5465178,realli good green transit green island design area green busi,bornholm energi island green municip
reg,16,7.362228,2.2938895,jacob trøst say jacob jacob consol lar aagaard mayor jacob trøst,bornholm energi say also jacob
reg,0,8.207778,6.2849903,electr grid hydrogen product bornholm electr surplu heat district heat,bornholm energi electr island connect
reg,8,5.83051,3.398382,labor market center bornholm busi center busi center bornholm bornholm compani,bornholm energi busi island compani
reg,7,6.2742724,5.398014,baltic sea north sea energi island green energi island baltic sea,bornholm energi island sea green
reg,6,7.0710225,6.493279,baltic sea rønne harbor ga station offshor wind north sea,bornholm energi wind sea island
reg,11,8.139864,2.6146288,citizen meet citizen associ civic meet associ energiø bornholm associ energiø,bornholm energi citizen island meet
reg,6,6.664645,6.409844,baltic sea rønne harbor ga station offshor wind north sea,bornholm energi wind sea island
reg,9,6.650725,5.048981,baltic sea baltic energi baltic energi island secur polici green transit,energi bornholm island green wind
reg,3,6.864118,1.2612461,social democraci social democrat ann thoma top candid elect campaign,bornholm say also municip social
reg,6,6.9509506,6.6107917,baltic sea rønne harbor ga station offshor wind north sea,bornholm energi wind sea island
reg,0,8.245977,6.153604,electr grid hydrogen product bornholm electr surplu heat district heat,bornholm energi electr island connect
reg,4,6.966506,3.770575,realli good green transit green island design area green busi,bornholm energi island green municip
reg,4,6.6940117,3.9660125,realli good green transit green island design area green busi,bornholm energi island green municip
reg,14,8.843965,4.7634945,energi agenc danish energi agenc danish energi nation center consult respons,bornholm energi plant area island
reg,0,8.398627,5.8191385,electr grid hydrogen product bornholm electr surplu heat district heat,bornholm energi electr island connect
reg,1,4.8272195,4.7033935,energiø bornholm energi island 10 million 31 billion think tank,energi bornholm island project say
reg,14,7.7503448,4.514543,energi agenc danish energi agenc danish energi nation center consult respons,bornholm energi plant area island
reg,3,6.6962404,1.130173,social democraci social democrat ann thoma top candid elect campaign,bornholm say also municip social
reg,7,7.205469,5.5595026,baltic sea north sea energi island green energi island baltic sea,bornholm energi island sea green
reg,5,6.891287,7.461363,offshor wind bornholm offshor wind bornholm offshor wind turbin wind farm,bornholm wind energi offshor project
reg,13,9.148423,4.290296,high voltag transform station voltag station high voltag station power plant,bornholm area plant energi station
reg,11,8.552597,2.8909888,citizen meet citizen associ civic meet associ energiø bornholm associ energiø,bornholm energi citizen island meet
reg,0,8.411812,5.8566427,electr grid hydrogen product bornholm electr surplu heat district heat,bornholm energi electr island connect
reg,0,8.380813,5.697964,electr grid hydrogen product bornholm electr surplu heat district heat,bornholm energi electr island connect
reg,15,7.5778236,1.5454237,cultur ident henrik espersen energiø bornholm citizen associ help creat,bornholm energi island cultur also
reg,14,8.348988,4.281618,energi agenc danish energi agenc danish energi nation center consult respons,bornholm energi plant area island
reg,14,7.684305,4.540573,energi agenc danish energi agenc danish energi nation center consult respons,bornholm energi plant area island
reg,14,7.503549,4.4659057,energi agenc danish energi agenc danish energi nation center consult respons,bornholm energi plant area island
reg,6,7.1644497,6.750319,baltic sea rønne harbor ga station offshor wind north sea,bornholm energi wind sea island
reg,10,9.11432,3.770892,local plan high voltag land plant søgaard mikkelsen kim søgaard,bornholm energinet energi plant say
reg,14,8.730551,4.7174287,energi agenc danish energi agenc danish energi nation center consult respons,bornholm energi plant area island
reg,13,9.27114,4.2539062,high voltag transform station voltag station high voltag station power plant,bornholm area plant energi station
reg,5,7.544307,7.3913584,offshor wind bornholm offshor wind bornholm offshor wind turbin wind farm,bornholm wind energi offshor project
reg,6,7.142184,6.1854424,baltic sea rønne harbor ga station offshor wind north sea,bornholm energi wind sea island
reg,0,6.203871,2.5165365,electr grid hydrogen product bornholm electr surplu heat district heat,bornholm energi electr island connect
reg,1,5.11268,4.857819,energiø bornholm energi island 10 million 31 billion think tank,energi bornholm island project say
reg,5,7.237059,7.4109926,offshor wind bornholm offshor wind bornholm offshor wind turbin wind farm,bornholm wind energi offshor project
reg,2,6.0563526,2.4505556,municip council social democraci climat plan municip budget uniti list,municip bornholm energi also say
reg,13,9.131199,4.219473,high voltag transform station voltag station high voltag station power plant,bornholm area plant energi station
reg,10,9.172378,3.8475401,local plan high voltag land plant søgaard mikkelsen kim søgaard,bornholm energinet energi plant say
reg,13,9.112125,4.438467,high voltag transform station voltag station high voltag station power plant,bornholm area plant energi station
reg,0,7.8672576,5.513548,electr grid hydrogen product bornholm electr surplu heat district heat,bornholm energi electr island connect
reg,13,9.065534,4.214504,high voltag transform station voltag station high voltag station power plant,bornholm area plant energi station
reg,6,6.9528117,6.3059583,baltic sea rønne harbor ga station offshor wind north sea,bornholm energi wind sea island
reg,4,7.3051147,3.4411898,realli good green transit green island design area green busi,bornholm energi island green municip
reg,7,7.043514,5.2222366,baltic sea north sea energi island green energi island baltic sea,bornholm energi island sea green
reg,15,7.5693207,1.8223495,cultur ident henrik espersen energiø bornholm citizen associ help creat,bornholm energi island cultur also
reg,0,7.3559537,5.363266,electr grid hydrogen product bornholm electr surplu heat district heat,bornholm energi electr island connect
reg,10,8.905517,3.9189463,local plan high voltag land plant søgaard mikkelsen kim søgaard,bornholm energinet energi plant say
reg,5,7.6701035,7.632717,offshor wind bornholm offshor wind bornholm offshor wind turbin wind farm,bornholm wind energi offshor project
reg,6,6.634292,6.3187733,baltic sea rønne harbor ga station offshor wind north sea,bornholm energi wind sea island
reg,11,8.485984,3.004022,citizen meet citizen associ civic meet associ energiø bornholm associ energiø,bornholm energi citizen island meet
reg,19,7.0436935,7.2281218,danish energi agenc energi agenc danish energi offshor wind wind farm,energi wind bornholm offshor danish
reg,19,7.023014,7.3761826,danish energi agenc energi agenc danish energi offshor wind wind farm,energi wind bornholm offshor danish
reg,13,9.333938,4.1173553,high voltag transform station voltag station high voltag station power plant,bornholm area plant energi station
reg,19,7.2326493,7.2425575,danish energi agenc energi agenc danish energi offshor wind wind farm,energi wind bornholm offshor danish
reg,12,8.082828,4.7202163,land plant energi park energi island land facil island land,energi bornholm island land say
reg,7,6.625062,6.0617027,baltic sea north sea energi island green energi island baltic sea,bornholm energi island sea green
reg,11,8.0372925,3.3881946,citizen meet citizen associ civic meet associ energiø bornholm associ energiø,bornholm energi citizen island meet
reg,10,8.661426,3.7161112,local plan high voltag land plant søgaard mikkelsen kim søgaard,bornholm energinet energi plant say
reg,11,8.241833,2.2918987,citizen meet citizen associ civic meet associ energiø bornholm associ energiø,bornholm energi citizen island meet
reg,5,7.7035294,7.6469913,offshor wind bornholm offshor wind bornholm offshor wind turbin wind farm,bornholm wind energi offshor project
reg,7,7.3205767,5.6414404,baltic sea north sea energi island green energi island baltic sea,bornholm energi island sea green
reg,14,8.591605,5.291705,energi agenc danish energi agenc danish energi nation center consult respons,bornholm energi plant area island
reg,11,7.8968616,2.3691633,citizen meet citizen associ civic meet associ energiø bornholm associ energiø,bornholm energi citizen island meet
reg,4,7.4173203,3.998269,realli good green transit green island design area green busi,bornholm energi island green municip
reg,4,7.213651,4.143106,realli good green transit green island design area green busi,bornholm energi island green municip
reg,12,8.033627,3.3614404,land plant energi park energi island land facil island land,energi bornholm island land say
reg,17,7.162867,2.4826272,busi park municip council hell munk ravnborg munk ravnborg hell munk,bornholm energi busi island municip
reg,3,7.2569985,1.2821958,social democraci social democrat ann thoma top candid elect campaign,bornholm say also municip social
reg,14,8.567381,5.248256,energi agenc danish energi agenc danish energi nation center consult respons,bornholm energi plant area island
reg,1,4.9980364,5.277583,energiø bornholm energi island 10 million 31 billion think tank,energi bornholm island project say
reg,8,5.998951,3.3932598,labor market center bornholm busi center busi center bornholm bornholm compani,bornholm energi busi island compani
reg,0,8.167287,6.7164736,electr grid hydrogen product bornholm electr surplu heat district heat,bornholm energi electr island connect
reg,0,8.137738,5.5349045,electr grid hydrogen product bornholm electr surplu heat district heat,bornholm energi electr island connect
reg,19,6.850147,7.176666,danish energi agenc energi agenc danish energi offshor wind wind farm,energi wind bornholm offshor danish
reg,8,6.0286736,3.3807251,labor market center bornholm busi center busi center bornholm bornholm compani,bornholm energi busi island compani
reg,4,6.1010084,4.7027283,realli good green transit green island design area green busi,bornholm energi island green municip
reg,0,8.398966,5.4487424,electr grid hydrogen product bornholm electr surplu heat district heat,bornholm energi electr island connect
reg,5,7.6096525,7.509347,offshor wind bornholm offshor wind bornholm offshor wind turbin wind farm,bornholm wind energi offshor project
reg,5,7.606332,7.6482406,offshor wind bornholm offshor wind bornholm offshor wind turbin wind farm,bornholm wind energi offshor project
reg,9,6.453787,4.964967,baltic sea baltic energi baltic energi island secur polici green transit,energi bornholm island green wind
reg,2,6.0577455,2.0601103,municip council social democraci climat plan municip budget uniti list,municip bornholm energi also say
reg,9,6.2983594,5.22621,baltic sea baltic energi baltic energi island secur polici green transit,energi bornholm island green wind
reg,7,6.8172216,5.960634,baltic sea north sea energi island green energi island baltic sea,bornholm energi island sea green
reg,19,7.0884776,7.45278,danish energi agenc energi agenc danish energi offshor wind wind farm,energi wind bornholm offshor danish
reg,7,6.537501,5.8657966,baltic sea north sea energi island green energi island baltic sea,bornholm energi island sea green
reg,7,7.051968,4.704063,baltic sea north sea energi island green energi island baltic sea,bornholm energi island sea green
reg,1,5.0606117,4.4779744,energiø bornholm energi island 10 million 31 billion think tank,energi bornholm island project say
reg,1,5.0639625,5.399481,energiø bornholm energi island 10 million 31 billion think tank,energi bornholm island project say
reg,6,6.9613237,6.36825,baltic sea rønne harbor ga station offshor wind north sea,bornholm energi wind sea island
reg,1,4.814813,5.0457497,energiø bornholm energi island 10 million 31 billion think tank,energi bornholm island project say
reg,10,8.94305,4.021099,local plan high voltag land plant søgaard mikkelsen kim søgaard,bornholm energinet energi plant say
reg,13,9.109054,4.57233,high voltag transform station voltag station high voltag station power plant,bornholm area plant energi station
reg,5,7.5619397,7.4822707,offshor wind bornholm offshor wind bornholm offshor wind turbin wind farm,bornholm wind energi offshor project
reg,2,5.8873606,1.6809194,municip council social democraci climat plan municip budget uniti list,municip bornholm energi also say
reg,5,7.427155,7.2604237,offshor wind bornholm offshor wind bornholm offshor wind turbin wind farm,bornholm wind energi offshor project
reg,1,4.8780804,5.3131466,energiø bornholm energi island 10 million 31 billion think tank,energi bornholm island project say
reg,3,6.74289,1.1805282,social democraci social democrat ann thoma top candid elect campaign,bornholm say also municip social
reg,11,8.161987,2.147643,citizen meet citizen associ civic meet associ energiø bornholm associ energiø,bornholm energi citizen island meet
reg,1,4.8697495,4.733801,energiø bornholm energi island 10 million 31 billion think tank,energi bornholm island project say
reg,3,7.008972,1.1086133,social democraci social democrat ann thoma top candid elect campaign,bornholm say also municip social
reg,3,6.8435493,1.0954299,social democraci social democrat ann thoma top candid elect campaign,bornholm say also municip social
reg,3,6.755515,1.2306558,social democraci social democrat ann thoma top candid elect campaign,bornholm say also municip social
reg,3,7.0627418,1.2229879,social democraci social democrat ann thoma top candid elect campaign,bornholm say also municip social
reg,4,7.503981,4.158098,realli good green transit green island design area green busi,bornholm energi island green municip
reg,6,6.757809,6.5041933,baltic sea rønne harbor ga station offshor wind north sea,bornholm energi wind sea island
reg,6,6.629986,6.1969967,baltic sea rønne harbor ga station offshor wind north sea,bornholm energi wind sea island
reg,3,6.5887437,1.2657229,social democraci social democrat ann thoma top candid elect campaign,bornholm say also municip social
reg,4,7.164996,3.2790277,realli good green transit green island design area green busi,bornholm energi island green municip
reg,3,6.8341403,1.4674548,social democraci social democrat ann thoma top candid elect campaign,bornholm say also municip social
reg,11,8.775054,3.0239654,citizen meet citizen associ civic meet associ energiø bornholm associ energiø,bornholm energi citizen island meet
reg,14,8.576794,4.3657784,energi agenc danish energi agenc danish energi nation center consult respons,bornholm energi plant area island
reg,0,8.297613,5.7698503,electr grid hydrogen product bornholm electr surplu heat district heat,bornholm energi electr island connect
reg,14,8.545056,4.5074315,energi agenc danish energi agenc danish energi nation center consult respons,bornholm energi plant area island
reg,0,7.886171,6.1646876,electr grid hydrogen product bornholm electr surplu heat district heat,bornholm energi electr island connect
reg,19,6.908028,7.2886186,danish energi agenc energi agenc danish energi offshor wind wind farm,energi wind bornholm offshor danish
reg,1,5.60188,5.5294356,energiø bornholm energi island 10 million 31 billion think tank,energi bornholm island project say
reg,11,8.049626,2.34934,citizen meet citizen associ civic meet associ energiø bornholm associ energiø,bornholm energi citizen island meet
reg,11,7.9758053,2.2568254,citizen meet citizen associ civic meet associ energiø bornholm associ energiø,bornholm energi citizen island meet
reg,6,7.1479435,6.2967744,baltic sea rønne harbor ga station offshor wind north sea,bornholm energi wind sea island
reg,10,9.242182,3.5781667,local plan high voltag land plant søgaard mikkelsen kim søgaard,bornholm energinet energi plant say
reg,13,9.326039,4.177363,high voltag transform station voltag station high voltag station power plant,bornholm area plant energi station
reg,16,7.649098,2.4408057,jacob trøst say jacob jacob consol lar aagaard mayor jacob trøst,bornholm energi say also jacob
reg,0,8.276981,6.392052,electr grid hydrogen product bornholm electr surplu heat district heat,bornholm energi electr island connect
reg,8,6.0863457,3.2206066,labor market center bornholm busi center busi center bornholm bornholm compani,bornholm energi busi island compani
reg,14,8.557268,4.4778423,energi agenc danish energi agenc danish energi nation center consult respons,bornholm energi plant area island
reg,14,8.365185,4.163655,energi agenc danish energi agenc danish energi nation center consult respons,bornholm energi plant area island
reg,10,9.2961645,3.6077154,local plan high voltag land plant søgaard mikkelsen kim søgaard,bornholm energinet energi plant say
reg,10,9.077014,3.8842556,local plan high voltag land plant søgaard mikkelsen kim søgaard,bornholm energinet energi plant say
reg,17,6.997756,3.084842,busi park municip council hell munk ravnborg munk ravnborg hell munk,bornholm energi busi island municip
reg,14,8.671597,4.964648,energi agenc danish energi agenc danish energi nation center consult respons,bornholm energi plant area island
reg,10,9.018663,3.4217815,local plan high voltag land plant søgaard mikkelsen kim søgaard,bornholm energinet energi plant say
reg,10,9.29984,3.6962614,local plan high voltag land plant søgaard mikkelsen kim søgaard,bornholm energinet energi plant say
reg,0,7.844351,6.652275,electr grid hydrogen product bornholm electr surplu heat district heat,bornholm energi electr island connect
reg,1,5.254057,4.7505326,energiø bornholm energi island 10 million 31 billion think tank,energi bornholm island project say
reg,3,6.7940965,1.1870731,social democraci social democrat ann thoma top candid elect campaign,bornholm say also municip social
reg,0,8.318611,6.376185,electr grid hydrogen product bornholm electr surplu heat district heat,bornholm energi electr island connect
reg,2,5.7170186,2.4157302,municip council social democraci climat plan municip budget uniti list,municip bornholm energi also say
reg,12,7.748442,3.345069,land plant energi park energi island land facil island land,energi bornholm island land say
reg,8,6.080301,3.4786446,labor market center bornholm busi center busi center bornholm bornholm compani,bornholm energi busi island compani
reg,13,9.353319,4.273471,high voltag transform station voltag station high voltag station power plant,bornholm area plant energi station
reg,14,8.395505,4.177819,energi agenc danish energi agenc danish energi nation center consult respons,bornholm energi plant area island
reg,0,8.179524,6.0680876,electr grid hydrogen product bornholm electr surplu heat district heat,bornholm energi electr island connect
reg,17,6.8142886,2.8778899,busi park municip council hell munk ravnborg munk ravnborg hell munk,bornholm energi busi island municip
reg,9,6.4459724,5.1738305,baltic sea baltic energi baltic energi island secur polici green transit,energi bornholm island green wind
reg,12,7.7701116,3.6464827,land plant energi park energi island land facil island land,energi bornholm island land say
reg,17,7.024936,3.0348148,busi park municip council hell munk ravnborg munk ravnborg hell munk,bornholm energi busi island municip
reg,4,7.2780843,3.7877922,realli good green transit green island design area green busi,bornholm energi island green municip
reg,5,7.4621353,7.3614254,offshor wind bornholm offshor wind bornholm offshor wind turbin wind farm,bornholm wind energi offshor project
reg,0,8.153109,6.6117587,electr grid hydrogen product bornholm electr surplu heat district heat,bornholm energi electr island connect
reg,4,6.9967422,3.600697,realli good green transit green island design area green busi,bornholm energi island green municip
reg,5,5.7459083,3.759411,offshor wind bornholm offshor wind bornholm offshor wind turbin wind farm,bornholm wind energi offshor project
reg,3,6.646367,1.3819212,social democraci social democrat ann thoma top candid elect campaign,bornholm say also municip social
reg,12,7.6234875,3.409673,land plant energi park energi island land facil island land,energi bornholm island land say
reg,13,9.350124,4.4155674,high voltag transform station voltag station high voltag station power plant,bornholm area plant energi station
reg,10,8.932067,4.039834,local plan high voltag land plant søgaard mikkelsen kim søgaard,bornholm energinet energi plant say
reg,13,9.091669,4.5081844,high voltag transform station voltag station high voltag station power plant,bornholm area plant energi station
reg,1,4.818117,4.8668466,energiø bornholm energi island 10 million 31 billion think tank,energi bornholm island project say
reg,10,9.261415,3.6480708,local plan high voltag land plant søgaard mikkelsen kim søgaard,bornholm energinet energi plant say
reg,10,9.177716,3.821008,local plan high voltag land plant søgaard mikkelsen kim søgaard,bornholm energinet energi plant say
reg,11,8.684683,2.8919766,citizen meet citizen associ civic meet associ energiø bornholm associ energiø,bornholm energi citizen island meet
reg,10,9.353026,3.7160492,local plan high voltag land plant søgaard mikkelsen kim søgaard,bornholm energinet energi plant say
reg,16,7.537822,2.3330615,jacob trøst say jacob jacob consol lar aagaard mayor jacob trøst,bornholm energi say also jacob
reg,10,8.833159,3.6555865,local plan high voltag land plant søgaard mikkelsen kim søgaard,bornholm energinet energi plant say
reg,5,7.2858133,7.50658,offshor wind bornholm offshor wind bornholm offshor wind turbin wind farm,bornholm wind energi offshor project
reg,7,6.4376717,5.7585855,baltic sea north sea energi island green energi island baltic sea,bornholm energi island sea green
reg,11,7.8909745,2.2812147,citizen meet citizen associ civic meet associ energiø bornholm associ energiø,bornholm energi citizen island meet
reg,5,7.562348,7.2897944,offshor wind bornholm offshor wind bornholm offshor wind turbin wind farm,bornholm wind energi offshor project
