topic_int,topic_names,labels_layer,Source,topic_names_from_bertopic,main_topic_name
0,energi island,0: energi island,Reg Media,"7, bornholm, energi, island, green","3, mayor, municip, social, food"
3,wind turbin,3: wind turbin,Reg Media,"39, wind, island, energi, bornholm","10, hydrogen, energi, bornholm, wind"
6,energiø bornholm,6: energiø bornholm,Reg Media,"8, bornholm, energi, busi, also","14, energi, island, nuclear, bornholm"
3,wind turbin,3: wind turbin,Reg Media,"38, wind, danish, island, offshor","10, hydrogen, energi, bornholm, wind"
3,wind turbin,3: wind turbin,Reg Media,"21, hydrogen, plant, co2, methanol","10, hydrogen, energi, bornholm, wind"
3,wind turbin,3: wind turbin,Reg Media,Noise,"10, hydrogen, energi, bornholm, wind"
3,wind turbin,3: wind turbin,Reg Media,"21, hydrogen, plant, co2, methanol","10, hydrogen, energi, bornholm, wind"
0,energi island,0: energi island,Reg Media,"25, bornholm, say, make, get","3, mayor, municip, social, food"
6,energiø bornholm,6: energiø bornholm,Reg Media,"16, wind, offshor, turbin, island","14, energi, island, nuclear, bornholm"
6,energiø bornholm,6: energiø bornholm,Reg Media,"12, project, energi, bornholm, wind","14, energi, island, nuclear, bornholm"
0,energi island,0: energi island,Reg Media,"13, bornholm, danish, agenc, wind","3, mayor, municip, social, food"
3,wind turbin,3: wind turbin,Reg Media,"16, wind, offshor, turbin, island","10, hydrogen, energi, bornholm, wind"
0,energi island,0: energi island,Reg Media,"6, bornholm, municip, year, work","3, mayor, municip, social, food"
2,offshor wind,2: offshor wind,Reg Media,"13, bornholm, danish, agenc, wind","4, bornholm, energi, island, sea"
2,offshor wind,2: offshor wind,Reg Media,"4, bornholm, energi, island, sea","4, bornholm, energi, island, sea"
2,offshor wind,2: offshor wind,Reg Media,"13, bornholm, danish, agenc, wind","4, bornholm, energi, island, sea"
8,offshor wind farm,8: offshor wind farm,Reg Media,"16, wind, offshor, turbin, island","33, fuel, energi, materi, wind"
0,energi island,0: energi island,Reg Media,"13, bornholm, danish, agenc, wind","3, mayor, municip, social, food"
6,energiø bornholm,6: energiø bornholm,Reg Media,"42, energi, bornholm, rsted, say","14, energi, island, nuclear, bornholm"
2,offshor wind,2: offshor wind,Reg Media,"14, energi, island, nuclear, bornholm","4, bornholm, energi, island, sea"
0,energi island,0: energi island,Reg Media,"11, bornholm, cool, municip, say","3, mayor, municip, social, food"
0,energi island,0: energi island,Reg Media,"43, bornholm, land, energi, climat","3, mayor, municip, social, food"
0,energi island,0: energi island,Reg Media,"11, bornholm, cool, municip, say","3, mayor, municip, social, food"
0,energi island,0: energi island,Reg Media,"25, bornholm, say, make, get","3, mayor, municip, social, food"
5,renew energi,5: renew energi,Reg Media,"19, heat, hydrogen, rvv, product","9, energi, renew, system, power"
6,energiø bornholm,6: energiø bornholm,Reg Media,"16, wind, offshor, turbin, island","14, energi, island, nuclear, bornholm"
4,municip council,4: municip council,Reg Media,"3, mayor, municip, social, food","3, mayor, municip, social, food"
2,offshor wind,2: offshor wind,Reg Media,"17, hydrogen, wind, energi, germani","4, bornholm, energi, island, sea"
0,energi island,0: energi island,Reg Media,"25, bornholm, say, make, get","3, mayor, municip, social, food"
6,energiø bornholm,6: energiø bornholm,Reg Media,"14, energi, island, nuclear, bornholm","14, energi, island, nuclear, bornholm"
4,municip council,4: municip council,Reg Media,"36, bornholm, say, jen, busi","3, mayor, municip, social, food"
2,offshor wind,2: offshor wind,Reg Media,"4, bornholm, energi, island, sea","4, bornholm, energi, island, sea"
0,energi island,0: energi island,Reg Media,"43, bornholm, land, energi, climat","3, mayor, municip, social, food"
6,energiø bornholm,6: energiø bornholm,Reg Media,"4, bornholm, energi, island, sea","14, energi, island, nuclear, bornholm"
6,energiø bornholm,6: energiø bornholm,Reg Media,"16, wind, offshor, turbin, island","14, energi, island, nuclear, bornholm"
6,energiø bornholm,6: energiø bornholm,Reg Media,"8, bornholm, energi, busi, also","14, energi, island, nuclear, bornholm"
6,energiø bornholm,6: energiø bornholm,Reg Media,"16, wind, offshor, turbin, island","14, energi, island, nuclear, bornholm"
6,energiø bornholm,6: energiø bornholm,Reg Media,Noise,"14, energi, island, nuclear, bornholm"
0,energi island,0: energi island,Reg Media,"11, bornholm, cool, municip, say","3, mayor, municip, social, food"
0,energi island,0: energi island,Reg Media,"32, bornholm, center, green, parti","3, mayor, municip, social, food"
6,energiø bornholm,6: energiø bornholm,Reg Media,"16, wind, offshor, turbin, island","14, energi, island, nuclear, bornholm"
3,wind turbin,3: wind turbin,Reg Media,"21, hydrogen, plant, co2, methanol","10, hydrogen, energi, bornholm, wind"
6,energiø bornholm,6: energiø bornholm,Reg Media,"37, energi, wind, electr, sea","14, energi, island, nuclear, bornholm"
4,municip council,4: municip council,Reg Media,"32, bornholm, center, green, parti","3, mayor, municip, social, food"
0,energi island,0: energi island,Reg Media,"12, project, energi, bornholm, wind","3, mayor, municip, social, food"
2,offshor wind,2: offshor wind,Reg Media,"4, bornholm, energi, island, sea","4, bornholm, energi, island, sea"
2,offshor wind,2: offshor wind,Reg Media,"13, bornholm, danish, agenc, wind","4, bornholm, energi, island, sea"
2,offshor wind,2: offshor wind,Reg Media,"12, project, energi, bornholm, wind","4, bornholm, energi, island, sea"
6,energiø bornholm,6: energiø bornholm,Reg Media,"39, wind, island, energi, bornholm","14, energi, island, nuclear, bornholm"
0,energi island,0: energi island,Reg Media,"3, mayor, municip, social, food","3, mayor, municip, social, food"
4,municip council,4: municip council,Reg Media,"3, mayor, municip, social, food","3, mayor, municip, social, food"
4,municip council,4: municip council,Reg Media,"3, mayor, municip, social, food","3, mayor, municip, social, food"
0,energi island,0: energi island,Reg Media,"36, bornholm, say, jen, busi","3, mayor, municip, social, food"
4,municip council,4: municip council,Reg Media,"3, mayor, municip, social, food","3, mayor, municip, social, food"
4,municip council,4: municip council,Reg Media,"31, bornholm, also, island, energi","3, mayor, municip, social, food"
6,energiø bornholm,6: energiø bornholm,Reg Media,"16, wind, offshor, turbin, island","14, energi, island, nuclear, bornholm"
3,wind turbin,3: wind turbin,Reg Media,"33, fuel, energi, materi, wind","10, hydrogen, energi, bornholm, wind"
0,energi island,0: energi island,Reg Media,"13, bornholm, danish, agenc, wind","3, mayor, municip, social, food"
3,wind turbin,3: wind turbin,Reg Media,"33, fuel, energi, materi, wind","10, hydrogen, energi, bornholm, wind"
6,energiø bornholm,6: energiø bornholm,Reg Media,"14, energi, island, nuclear, bornholm","14, energi, island, nuclear, bornholm"
6,energiø bornholm,6: energiø bornholm,Reg Media,"23, energi, wind, electr, climat","14, energi, island, nuclear, bornholm"
0,energi island,0: energi island,Reg Media,"6, bornholm, municip, year, work","3, mayor, municip, social, food"
2,offshor wind,2: offshor wind,Reg Media,"7, bornholm, energi, island, green","4, bornholm, energi, island, sea"
6,energiø bornholm,6: energiø bornholm,Reg Media,"39, wind, island, energi, bornholm","14, energi, island, nuclear, bornholm"
2,offshor wind,2: offshor wind,Reg Media,"12, project, energi, bornholm, wind","4, bornholm, energi, island, sea"
2,offshor wind,2: offshor wind,Reg Media,"14, energi, island, nuclear, bornholm","4, bornholm, energi, island, sea"
3,wind turbin,3: wind turbin,Reg Media,"10, hydrogen, energi, bornholm, wind","10, hydrogen, energi, bornholm, wind"
2,offshor wind,2: offshor wind,Reg Media,"6, bornholm, municip, year, work","4, bornholm, energi, island, sea"
6,energiø bornholm,6: energiø bornholm,Reg Media,Noise,"14, energi, island, nuclear, bornholm"
0,energi island,0: energi island,Reg Media,"7, bornholm, energi, island, green","3, mayor, municip, social, food"
0,energi island,0: energi island,Reg Media,"11, bornholm, cool, municip, say","3, mayor, municip, social, food"
4,municip council,4: municip council,Reg Media,"25, bornholm, say, make, get","3, mayor, municip, social, food"
3,wind turbin,3: wind turbin,Reg Media,"17, hydrogen, wind, energi, germani","10, hydrogen, energi, bornholm, wind"
3,wind turbin,3: wind turbin,Reg Media,"10, hydrogen, energi, bornholm, wind","10, hydrogen, energi, bornholm, wind"
6,energiø bornholm,6: energiø bornholm,Reg Media,"42, energi, bornholm, rsted, say","14, energi, island, nuclear, bornholm"
4,municip council,4: municip council,Reg Media,"6, bornholm, municip, year, work","3, mayor, municip, social, food"
8,offshor wind farm,8: offshor wind farm,Reg Media,"28, energi, bornholm, project, error","33, fuel, energi, materi, wind"
8,offshor wind farm,8: offshor wind farm,Reg Media,"16, wind, offshor, turbin, island","33, fuel, energi, materi, wind"
8,offshor wind farm,8: offshor wind farm,Reg Media,"42, energi, bornholm, rsted, say","33, fuel, energi, materi, wind"
0,energi island,0: energi island,Reg Media,"28, energi, bornholm, project, error","3, mayor, municip, social, food"
0,energi island,0: energi island,Reg Media,"43, bornholm, land, energi, climat","3, mayor, municip, social, food"
0,energi island,0: energi island,Reg Media,"8, bornholm, energi, busi, also","3, mayor, municip, social, food"
0,energi island,0: energi island,Reg Media,"11, bornholm, cool, municip, say","3, mayor, municip, social, food"
0,energi island,0: energi island,Reg Media,Noise,"3, mayor, municip, social, food"
4,municip council,4: municip council,Reg Media,"27, municip, budget, save, council","3, mayor, municip, social, food"
0,energi island,0: energi island,Reg Media,"7, bornholm, energi, island, green","3, mayor, municip, social, food"
3,wind turbin,3: wind turbin,Reg Media,Noise,"10, hydrogen, energi, bornholm, wind"
4,municip council,4: municip council,Reg Media,"31, bornholm, also, island, energi","3, mayor, municip, social, food"
4,municip council,4: municip council,Reg Media,"25, bornholm, say, make, get","3, mayor, municip, social, food"
8,offshor wind farm,8: offshor wind farm,Reg Media,"12, project, energi, bornholm, wind","33, fuel, energi, materi, wind"
2,offshor wind,2: offshor wind,Reg Media,"27, municip, budget, save, council","4, bornholm, energi, island, sea"
2,offshor wind,2: offshor wind,Reg Media,"24, municip, bornholm, polit, tax","4, bornholm, energi, island, sea"
4,municip council,4: municip council,Reg Media,"24, municip, bornholm, polit, tax","3, mayor, municip, social, food"
4,municip council,4: municip council,Reg Media,"6, bornholm, municip, year, work","3, mayor, municip, social, food"
5,renew energi,5: renew energi,Reg Media,"9, energi, renew, system, power","9, energi, renew, system, power"
6,energiø bornholm,6: energiø bornholm,Reg Media,"30, energi, project, climat, green","14, energi, island, nuclear, bornholm"
6,energiø bornholm,6: energiø bornholm,Reg Media,"28, energi, bornholm, project, error","14, energi, island, nuclear, bornholm"
0,energi island,0: energi island,Reg Media,"11, bornholm, cool, municip, say","3, mayor, municip, social, food"
6,energiø bornholm,6: energiø bornholm,Reg Media,"4, bornholm, energi, island, sea","14, energi, island, nuclear, bornholm"
4,municip council,4: municip council,Reg Media,"27, municip, budget, save, council","3, mayor, municip, social, food"
2,offshor wind,2: offshor wind,Reg Media,"36, bornholm, say, jen, busi","4, bornholm, energi, island, sea"
0,energi island,0: energi island,Reg Media,"32, bornholm, center, green, parti","3, mayor, municip, social, food"
6,energiø bornholm,6: energiø bornholm,Reg Media,"13, bornholm, danish, agenc, wind","14, energi, island, nuclear, bornholm"
6,energiø bornholm,6: energiø bornholm,Reg Media,"14, energi, island, nuclear, bornholm","14, energi, island, nuclear, bornholm"
2,offshor wind,2: offshor wind,Reg Media,"4, bornholm, energi, island, sea","4, bornholm, energi, island, sea"
8,offshor wind farm,8: offshor wind farm,Reg Media,"17, hydrogen, wind, energi, germani","33, fuel, energi, materi, wind"
2,offshor wind,2: offshor wind,Reg Media,"4, bornholm, energi, island, sea","4, bornholm, energi, island, sea"
4,municip council,4: municip council,Reg Media,"27, municip, budget, save, council","3, mayor, municip, social, food"
0,energi island,0: energi island,Reg Media,"3, mayor, municip, social, food","3, mayor, municip, social, food"
6,energiø bornholm,6: energiø bornholm,Reg Media,"30, energi, project, climat, green","14, energi, island, nuclear, bornholm"
4,municip council,4: municip council,Reg Media,"27, municip, budget, save, council","3, mayor, municip, social, food"
0,energi island,0: energi island,Reg Media,"11, bornholm, cool, municip, say","3, mayor, municip, social, food"
0,energi island,0: energi island,Reg Media,"27, municip, budget, save, council","3, mayor, municip, social, food"
7,north sea,7: north sea,Reg Media,"19, heat, hydrogen, rvv, product","1, grid, power, system, offshor"
0,energi island,0: energi island,Reg Media,"8, bornholm, energi, busi, also","3, mayor, municip, social, food"
6,energiø bornholm,6: energiø bornholm,Reg Media,"12, project, energi, bornholm, wind","14, energi, island, nuclear, bornholm"
6,energiø bornholm,6: energiø bornholm,Reg Media,"13, bornholm, danish, agenc, wind","14, energi, island, nuclear, bornholm"
0,energi island,0: energi island,Reg Media,"36, bornholm, say, jen, busi","3, mayor, municip, social, food"
0,energi island,0: energi island,Reg Media,"6, bornholm, municip, year, work","3, mayor, municip, social, food"
4,municip council,4: municip council,Reg Media,"25, bornholm, say, make, get","3, mayor, municip, social, food"
6,energiø bornholm,6: energiø bornholm,Reg Media,"4, bornholm, energi, island, sea","14, energi, island, nuclear, bornholm"
6,energiø bornholm,6: energiø bornholm,Reg Media,"7, bornholm, energi, island, green","14, energi, island, nuclear, bornholm"
0,energi island,0: energi island,Reg Media,"25, bornholm, say, make, get","3, mayor, municip, social, food"
0,energi island,0: energi island,Reg Media,"4, bornholm, energi, island, sea","3, mayor, municip, social, food"
3,wind turbin,3: wind turbin,Reg Media,"10, hydrogen, energi, bornholm, wind","10, hydrogen, energi, bornholm, wind"
6,energiø bornholm,6: energiø bornholm,Reg Media,"12, project, energi, bornholm, wind","14, energi, island, nuclear, bornholm"
0,energi island,0: energi island,Reg Media,"3, mayor, municip, social, food","3, mayor, municip, social, food"
3,wind turbin,3: wind turbin,Reg Media,"10, hydrogen, energi, bornholm, wind","10, hydrogen, energi, bornholm, wind"
4,municip council,4: municip council,Reg Media,"6, bornholm, municip, year, work","3, mayor, municip, social, food"
8,offshor wind farm,8: offshor wind farm,Reg Media,"42, energi, bornholm, rsted, say","33, fuel, energi, materi, wind"
4,municip council,4: municip council,Reg Media,"25, bornholm, say, make, get","3, mayor, municip, social, food"
6,energiø bornholm,6: energiø bornholm,Reg Media,Noise,"14, energi, island, nuclear, bornholm"
4,municip council,4: municip council,Reg Media,"8, bornholm, energi, busi, also","3, mayor, municip, social, food"
2,offshor wind,2: offshor wind,Reg Media,"13, bornholm, danish, agenc, wind","4, bornholm, energi, island, sea"
0,energi island,0: energi island,Reg Media,"6, bornholm, municip, year, work","3, mayor, municip, social, food"
4,municip council,4: municip council,Reg Media,"4, bornholm, energi, island, sea","3, mayor, municip, social, food"
0,energi island,0: energi island,Reg Media,Noise,"3, mayor, municip, social, food"
2,offshor wind,2: offshor wind,Reg Media,"7, bornholm, energi, island, green","4, bornholm, energi, island, sea"
2,offshor wind,2: offshor wind,Reg Media,"7, bornholm, energi, island, green","4, bornholm, energi, island, sea"
6,energiø bornholm,6: energiø bornholm,Reg Media,"30, energi, project, climat, green","14, energi, island, nuclear, bornholm"
3,wind turbin,3: wind turbin,Reg Media,"17, hydrogen, wind, energi, germani","10, hydrogen, energi, bornholm, wind"
4,municip council,4: municip council,Reg Media,"43, bornholm, land, energi, climat","3, mayor, municip, social, food"
0,energi island,0: energi island,Reg Media,"4, bornholm, energi, island, sea","3, mayor, municip, social, food"
4,municip council,4: municip council,Reg Media,"3, mayor, municip, social, food","3, mayor, municip, social, food"
8,offshor wind farm,8: offshor wind farm,Reg Media,"30, energi, project, climat, green","33, fuel, energi, materi, wind"
6,energiø bornholm,6: energiø bornholm,Reg Media,"13, bornholm, danish, agenc, wind","14, energi, island, nuclear, bornholm"
0,energi island,0: energi island,Reg Media,"36, bornholm, say, jen, busi","3, mayor, municip, social, food"
0,energi island,0: energi island,Reg Media,"8, bornholm, energi, busi, also","3, mayor, municip, social, food"
4,municip council,4: municip council,Reg Media,"25, bornholm, say, make, get","3, mayor, municip, social, food"
0,energi island,0: energi island,Reg Media,"6, bornholm, municip, year, work","3, mayor, municip, social, food"
0,energi island,0: energi island,Reg Media,"8, bornholm, energi, busi, also","3, mayor, municip, social, food"
4,municip council,4: municip council,Reg Media,"27, municip, budget, save, council","3, mayor, municip, social, food"
0,energi island,0: energi island,Reg Media,"6, bornholm, municip, year, work","3, mayor, municip, social, food"
6,energiø bornholm,6: energiø bornholm,Reg Media,Noise,"14, energi, island, nuclear, bornholm"
0,energi island,0: energi island,Reg Media,"3, mayor, municip, social, food","3, mayor, municip, social, food"
0,energi island,0: energi island,Reg Media,"24, municip, bornholm, polit, tax","3, mayor, municip, social, food"
6,energiø bornholm,6: energiø bornholm,Reg Media,"23, energi, wind, electr, climat","14, energi, island, nuclear, bornholm"
8,offshor wind farm,8: offshor wind farm,Reg Media,"28, energi, bornholm, project, error","33, fuel, energi, materi, wind"
2,offshor wind,2: offshor wind,Reg Media,"7, bornholm, energi, island, green","4, bornholm, energi, island, sea"
4,municip council,4: municip council,Reg Media,"3, mayor, municip, social, food","3, mayor, municip, social, food"
8,offshor wind farm,8: offshor wind farm,Reg Media,Noise,"33, fuel, energi, materi, wind"
4,municip council,4: municip council,Reg Media,"3, mayor, municip, social, food","3, mayor, municip, social, food"
2,offshor wind,2: offshor wind,Reg Media,"8, bornholm, energi, busi, also","4, bornholm, energi, island, sea"
0,energi island,0: energi island,Reg Media,"3, mayor, municip, social, food","3, mayor, municip, social, food"
6,energiø bornholm,6: energiø bornholm,Reg Media,"4, bornholm, energi, island, sea","14, energi, island, nuclear, bornholm"
6,energiø bornholm,6: energiø bornholm,Reg Media,"23, energi, wind, electr, climat","14, energi, island, nuclear, bornholm"
2,offshor wind,2: offshor wind,Reg Media,"36, bornholm, say, jen, busi","4, bornholm, energi, island, sea"
0,energi island,0: energi island,Reg Media,"3, mayor, municip, social, food","3, mayor, municip, social, food"
0,energi island,0: energi island,Reg Media,"3, mayor, municip, social, food","3, mayor, municip, social, food"
6,energiø bornholm,6: energiø bornholm,Reg Media,"13, bornholm, danish, agenc, wind","14, energi, island, nuclear, bornholm"
0,energi island,0: energi island,Reg Media,"25, bornholm, say, make, get","3, mayor, municip, social, food"
0,energi island,0: energi island,Reg Media,"24, municip, bornholm, polit, tax","3, mayor, municip, social, food"
4,municip council,4: municip council,Reg Media,"13, bornholm, danish, agenc, wind","3, mayor, municip, social, food"
4,municip council,4: municip council,Reg Media,"24, municip, bornholm, polit, tax","3, mayor, municip, social, food"
4,municip council,4: municip council,Reg Media,"6, bornholm, municip, year, work","3, mayor, municip, social, food"
2,offshor wind,2: offshor wind,Reg Media,"36, bornholm, say, jen, busi","4, bornholm, energi, island, sea"
4,municip council,4: municip council,Reg Media,"3, mayor, municip, social, food","3, mayor, municip, social, food"
6,energiø bornholm,6: energiø bornholm,Reg Media,"13, bornholm, danish, agenc, wind","14, energi, island, nuclear, bornholm"
0,energi island,0: energi island,Reg Media,"3, mayor, municip, social, food","3, mayor, municip, social, food"
8,offshor wind farm,8: offshor wind farm,Reg Media,Noise,"33, fuel, energi, materi, wind"
6,energiø bornholm,6: energiø bornholm,Reg Media,"23, energi, wind, electr, climat","14, energi, island, nuclear, bornholm"
0,energi island,0: energi island,Reg Media,"7, bornholm, energi, island, green","3, mayor, municip, social, food"
0,energi island,0: energi island,Reg Media,"3, mayor, municip, social, food","3, mayor, municip, social, food"
6,energiø bornholm,6: energiø bornholm,Reg Media,"42, energi, bornholm, rsted, say","14, energi, island, nuclear, bornholm"
0,energi island,0: energi island,Reg Media,"4, bornholm, energi, island, sea","3, mayor, municip, social, food"
2,offshor wind,2: offshor wind,Reg Media,"4, bornholm, energi, island, sea","4, bornholm, energi, island, sea"
2,offshor wind,2: offshor wind,Reg Media,"31, bornholm, also, island, energi","4, bornholm, energi, island, sea"
4,municip council,4: municip council,Reg Media,"6, bornholm, municip, year, work","3, mayor, municip, social, food"
0,energi island,0: energi island,Reg Media,"6, bornholm, municip, year, work","3, mayor, municip, social, food"
0,energi island,0: energi island,Reg Media,"43, bornholm, land, energi, climat","3, mayor, municip, social, food"
0,energi island,0: energi island,Reg Media,"8, bornholm, energi, busi, also","3, mayor, municip, social, food"
2,offshor wind,2: offshor wind,Reg Media,"25, bornholm, say, make, get","4, bornholm, energi, island, sea"
0,energi island,0: energi island,Reg Media,"14, energi, island, nuclear, bornholm","3, mayor, municip, social, food"
0,energi island,0: energi island,Reg Media,"32, bornholm, center, green, parti","3, mayor, municip, social, food"
0,energi island,0: energi island,Reg Media,"3, mayor, municip, social, food","3, mayor, municip, social, food"
2,offshor wind,2: offshor wind,Reg Media,"11, bornholm, cool, municip, say","4, bornholm, energi, island, sea"
2,offshor wind,2: offshor wind,Reg Media,Noise,"4, bornholm, energi, island, sea"
0,energi island,0: energi island,Reg Media,"43, bornholm, land, energi, climat","3, mayor, municip, social, food"
6,energiø bornholm,6: energiø bornholm,Reg Media,"4, bornholm, energi, island, sea","14, energi, island, nuclear, bornholm"
8,offshor wind farm,8: offshor wind farm,Reg Media,"38, wind, danish, island, offshor","33, fuel, energi, materi, wind"
4,municip council,4: municip council,Reg Media,"6, bornholm, municip, year, work","3, mayor, municip, social, food"
4,municip council,4: municip council,Reg Media,"4, bornholm, energi, island, sea","3, mayor, municip, social, food"
4,municip council,4: municip council,Reg Media,"13, bornholm, danish, agenc, wind","3, mayor, municip, social, food"
3,wind turbin,3: wind turbin,Reg Media,"21, hydrogen, plant, co2, methanol","10, hydrogen, energi, bornholm, wind"
0,energi island,0: energi island,Reg Media,"3, mayor, municip, social, food","3, mayor, municip, social, food"
0,energi island,0: energi island,Reg Media,"25, bornholm, say, make, get","3, mayor, municip, social, food"
8,offshor wind farm,8: offshor wind farm,Reg Media,"16, wind, offshor, turbin, island","33, fuel, energi, materi, wind"
4,municip council,4: municip council,Reg Media,"3, mayor, municip, social, food","3, mayor, municip, social, food"
2,offshor wind,2: offshor wind,Reg Media,"36, bornholm, say, jen, busi","4, bornholm, energi, island, sea"
0,energi island,0: energi island,Reg Media,"6, bornholm, municip, year, work","3, mayor, municip, social, food"
0,energi island,0: energi island,Reg Media,"3, mayor, municip, social, food","3, mayor, municip, social, food"
6,energiø bornholm,6: energiø bornholm,Reg Media,"7, bornholm, energi, island, green","14, energi, island, nuclear, bornholm"
0,energi island,0: energi island,Reg Media,"27, municip, budget, save, council","3, mayor, municip, social, food"
2,offshor wind,2: offshor wind,Reg Media,"4, bornholm, energi, island, sea","4, bornholm, energi, island, sea"
4,municip council,4: municip council,Reg Media,"32, bornholm, center, green, parti","3, mayor, municip, social, food"
2,offshor wind,2: offshor wind,Reg Media,"12, project, energi, bornholm, wind","4, bornholm, energi, island, sea"
4,municip council,4: municip council,Reg Media,"13, bornholm, danish, agenc, wind","3, mayor, municip, social, food"
4,municip council,4: municip council,Reg Media,"32, bornholm, center, green, parti","3, mayor, municip, social, food"
8,offshor wind farm,8: offshor wind farm,Reg Media,"16, wind, offshor, turbin, island","33, fuel, energi, materi, wind"
3,wind turbin,3: wind turbin,Reg Media,"17, hydrogen, wind, energi, germani","10, hydrogen, energi, bornholm, wind"
9,power system,9: power system,Reg Media,"34, transmiss, optim, grid, offshor","0, grid, comput, model, system"
8,offshor wind farm,8: offshor wind farm,Reg Media,"23, energi, wind, electr, climat","33, fuel, energi, materi, wind"
3,wind turbin,3: wind turbin,Reg Media,"10, hydrogen, energi, bornholm, wind","10, hydrogen, energi, bornholm, wind"
0,energi island,0: energi island,Reg Media,"7, bornholm, energi, island, green","3, mayor, municip, social, food"
4,municip council,4: municip council,Reg Media,"3, mayor, municip, social, food","3, mayor, municip, social, food"
4,municip council,4: municip council,Reg Media,"31, bornholm, also, island, energi","3, mayor, municip, social, food"
0,energi island,0: energi island,Reg Media,"25, bornholm, say, make, get","3, mayor, municip, social, food"
8,offshor wind farm,8: offshor wind farm,Reg Media,"17, hydrogen, wind, energi, germani","33, fuel, energi, materi, wind"
3,wind turbin,3: wind turbin,Reg Media,"17, hydrogen, wind, energi, germani","10, hydrogen, energi, bornholm, wind"
8,offshor wind farm,8: offshor wind farm,Reg Media,"33, fuel, energi, materi, wind","33, fuel, energi, materi, wind"
6,energiø bornholm,6: energiø bornholm,Reg Media,"4, bornholm, energi, island, sea","14, energi, island, nuclear, bornholm"
0,energi island,0: energi island,Reg Media,"24, municip, bornholm, polit, tax","3, mayor, municip, social, food"
3,wind turbin,3: wind turbin,Reg Media,"10, hydrogen, energi, bornholm, wind","10, hydrogen, energi, bornholm, wind"
0,energi island,0: energi island,Reg Media,"12, project, energi, bornholm, wind","3, mayor, municip, social, food"
3,wind turbin,3: wind turbin,Reg Media,"39, wind, island, energi, bornholm","10, hydrogen, energi, bornholm, wind"
6,energiø bornholm,6: energiø bornholm,Reg Media,"23, energi, wind, electr, climat","14, energi, island, nuclear, bornholm"
3,wind turbin,3: wind turbin,Reg Media,"17, hydrogen, wind, energi, germani","10, hydrogen, energi, bornholm, wind"
4,municip council,4: municip council,Reg Media,"3, mayor, municip, social, food","3, mayor, municip, social, food"
4,municip council,4: municip council,Reg Media,"25, bornholm, say, make, get","3, mayor, municip, social, food"
0,energi island,0: energi island,Reg Media,"3, mayor, municip, social, food","3, mayor, municip, social, food"
0,energi island,0: energi island,Reg Media,"6, bornholm, municip, year, work","3, mayor, municip, social, food"
0,energi island,0: energi island,Reg Media,"24, municip, bornholm, polit, tax","3, mayor, municip, social, food"
8,offshor wind farm,8: offshor wind farm,Reg Media,"30, energi, project, climat, green","33, fuel, energi, materi, wind"
4,municip council,4: municip council,Reg Media,"6, bornholm, municip, year, work","3, mayor, municip, social, food"
8,offshor wind farm,8: offshor wind farm,Reg Media,"23, energi, wind, electr, climat","33, fuel, energi, materi, wind"
2,offshor wind,2: offshor wind,Reg Media,"7, bornholm, energi, island, green","4, bornholm, energi, island, sea"
2,offshor wind,2: offshor wind,Reg Media,"13, bornholm, danish, agenc, wind","4, bornholm, energi, island, sea"
2,offshor wind,2: offshor wind,Reg Media,"4, bornholm, energi, island, sea","4, bornholm, energi, island, sea"
3,wind turbin,3: wind turbin,Reg Media,"37, energi, wind, electr, sea","10, hydrogen, energi, bornholm, wind"
4,municip council,4: municip council,Reg Media,"36, bornholm, say, jen, busi","3, mayor, municip, social, food"
3,wind turbin,3: wind turbin,Reg Media,"17, hydrogen, wind, energi, germani","10, hydrogen, energi, bornholm, wind"
0,energi island,0: energi island,Reg Media,"11, bornholm, cool, municip, say","3, mayor, municip, social, food"
6,energiø bornholm,6: energiø bornholm,Reg Media,"12, project, energi, bornholm, wind","14, energi, island, nuclear, bornholm"
0,energi island,0: energi island,Reg Media,"36, bornholm, say, jen, busi","3, mayor, municip, social, food"
6,energiø bornholm,6: energiø bornholm,Reg Media,"14, energi, island, nuclear, bornholm","14, energi, island, nuclear, bornholm"
4,municip council,4: municip council,Reg Media,"24, municip, bornholm, polit, tax","3, mayor, municip, social, food"
4,municip council,4: municip council,Reg Media,"7, bornholm, energi, island, green","3, mayor, municip, social, food"
5,renew energi,5: renew energi,Reg Media,"19, heat, hydrogen, rvv, product","9, energi, renew, system, power"
0,energi island,0: energi island,Reg Media,"25, bornholm, say, make, get","3, mayor, municip, social, food"
6,energiø bornholm,6: energiø bornholm,Reg Media,Noise,"14, energi, island, nuclear, bornholm"
6,energiø bornholm,6: energiø bornholm,Reg Media,"28, energi, bornholm, project, error","14, energi, island, nuclear, bornholm"
3,wind turbin,3: wind turbin,Reg Media,"10, hydrogen, energi, bornholm, wind","10, hydrogen, energi, bornholm, wind"
6,energiø bornholm,6: energiø bornholm,Reg Media,"12, project, energi, bornholm, wind","14, energi, island, nuclear, bornholm"
4,municip council,4: municip council,Reg Media,"24, municip, bornholm, polit, tax","3, mayor, municip, social, food"
0,energi island,0: energi island,Reg Media,"36, bornholm, say, jen, busi","3, mayor, municip, social, food"
0,energi island,0: energi island,Reg Media,"25, bornholm, say, make, get","3, mayor, municip, social, food"
5,renew energi,5: renew energi,Reg Media,Noise,"9, energi, renew, system, power"
2,offshor wind,2: offshor wind,Reg Media,"4, bornholm, energi, island, sea","4, bornholm, energi, island, sea"
