topic_int,topic_names,labels_layer,Source
6,offshor grid,6: offshor grid,Pro Media
4,wind turbin,4: wind turbin,Pro Media
2,offshor wind,2: offshor wind,Pro Media
2,offshor wind,2: offshor wind,Pro Media
6,offshor grid,6: offshor grid,Pro Media
4,wind turbin,4: wind turbin,Pro Media
2,offshor wind,2: offshor wind,Pro Media
2,offshor wind,2: offshor wind,Pro Media
2,offshor wind,2: offshor wind,Pro Media
4,wind turbin,4: wind turbin,Pro Media
2,offshor wind,2: offshor wind,Pro Media
2,offshor wind,2: offshor wind,Pro Media
5,municip council,5: municip council,Pro Media
6,offshor grid,6: offshor grid,Pro Media
4,wind turbin,4: wind turbin,Pro Media
2,offshor wind,2: offshor wind,Pro Media
2,offshor wind,2: offshor wind,Pro Media
2,offshor wind,2: offshor wind,Pro Media
4,wind turbin,4: wind turbin,Pro Media
4,wind turbin,4: wind turbin,Pro Media
2,offshor wind,2: offshor wind,Pro Media
2,offshor wind,2: offshor wind,Pro Media
4,wind turbin,4: wind turbin,Pro Media
3,renew energi,3: renew energi,Pro Media
4,wind turbin,4: wind turbin,Pro Media
6,offshor grid,6: offshor grid,Pro Media
4,wind turbin,4: wind turbin,Pro Media
4,wind turbin,4: wind turbin,Pro Media
2,offshor wind,2: offshor wind,Pro Media
3,renew energi,3: renew energi,Pro Media
6,offshor grid,6: offshor grid,Pro Media
2,offshor wind,2: offshor wind,Pro Media
2,offshor wind,2: offshor wind,Pro Media
4,wind turbin,4: wind turbin,Pro Media
2,offshor wind,2: offshor wind,Pro Media
3,renew energi,3: renew energi,Pro Media
2,offshor wind,2: offshor wind,Pro Media
2,offshor wind,2: offshor wind,Pro Media
2,offshor wind,2: offshor wind,Pro Media
2,offshor wind,2: offshor wind,Pro Media
1,wind farm,1: wind farm,Pro Media
5,municip council,5: municip council,Pro Media
4,wind turbin,4: wind turbin,Pro Media
2,offshor wind,2: offshor wind,Pro Media
2,offshor wind,2: offshor wind,Pro Media
4,wind turbin,4: wind turbin,Pro Media
4,wind turbin,4: wind turbin,Reg Media
5,municip council,5: municip council,Reg Media
3,renew energi,3: renew energi,Reg Media
0,energi island,0: energi island,Reg Media
0,energi island,0: energi island,Reg Media
6,offshor grid,6: offshor grid,Reg Media
4,wind turbin,4: wind turbin,Reg Media
4,wind turbin,4: wind turbin,Reg Media
2,offshor wind,2: offshor wind,Reg Media
2,offshor wind,2: offshor wind,Reg Media
2,offshor wind,2: offshor wind,Reg Media
4,wind turbin,4: wind turbin,Reg Media
5,municip council,5: municip council,Reg Media
0,energi island,0: energi island,Reg Media
4,wind turbin,4: wind turbin,Reg Media
4,wind turbin,4: wind turbin,Reg Media
0,energi island,0: energi island,Reg Media
6,offshor grid,6: offshor grid,Reg Media
0,energi island,0: energi island,Reg Media
5,municip council,5: municip council,Reg Media
4,wind turbin,4: wind turbin,Reg Media
2,offshor wind,2: offshor wind,Reg Media
0,energi island,0: energi island,Reg Media
2,offshor wind,2: offshor wind,Reg Media
5,municip council,5: municip council,Reg Media
4,wind turbin,4: wind turbin,Reg Media
5,municip council,5: municip council,Reg Media
4,wind turbin,4: wind turbin,Reg Media
5,municip council,5: municip council,Reg Media
0,energi island,0: energi island,Reg Media
5,municip council,5: municip council,Reg Media
6,offshor grid,6: offshor grid,Reg Media
4,wind turbin,4: wind turbin,Reg Media
4,wind turbin,4: wind turbin,Reg Media
4,wind turbin,4: wind turbin,Reg Media
5,municip council,5: municip council,Reg Media
4,wind turbin,4: wind turbin,Reg Media
4,wind turbin,4: wind turbin,Reg Media
5,municip council,5: municip council,Reg Media
5,municip council,5: municip council,Reg Media
4,wind turbin,4: wind turbin,Reg Media
4,wind turbin,4: wind turbin,Reg Media
0,energi island,0: energi island,Reg Media
6,offshor grid,6: offshor grid,Reg Media
4,wind turbin,4: wind turbin,Reg Media
4,wind turbin,4: wind turbin,Reg Media
5,municip council,5: municip council,Reg Media
0,energi island,0: energi island,Reg Media
6,offshor grid,6: offshor grid,Reg Media
5,municip council,5: municip council,Reg Media
4,wind turbin,4: wind turbin,Reg Media
5,municip council,5: municip council,Reg Media
0,energi island,0: energi island,Reg Media
2,offshor wind,2: offshor wind,Reg Media
2,offshor wind,2: offshor wind,Reg Media
4,wind turbin,4: wind turbin,Reg Media
5,municip council,5: municip council,Reg Media
4,wind turbin,4: wind turbin,Reg Media
3,renew energi,3: renew energi,Reg Media
5,municip council,5: municip council,Reg Media
4,wind turbin,4: wind turbin,Reg Media
4,wind turbin,4: wind turbin,Reg Media
5,municip council,5: municip council,Reg Media
4,wind turbin,4: wind turbin,Reg Media
5,municip council,5: municip council,Reg Media
5,municip council,5: municip council,Reg Media
4,wind turbin,4: wind turbin,Reg Media
3,renew energi,3: renew energi,Reg Media
0,energi island,0: energi island,Reg Media
0,energi island,0: energi island,Reg Media
4,wind turbin,4: wind turbin,Reg Media
2,offshor wind,2: offshor wind,Reg Media
0,energi island,0: energi island,Reg Media
0,energi island,0: energi island,Reg Media
5,municip council,5: municip council,Reg Media
4,wind turbin,4: wind turbin,Reg Media
6,offshor grid,6: offshor grid,Reg Media
0,energi island,0: energi island,Reg Media
4,wind turbin,4: wind turbin,Reg Media
4,wind turbin,4: wind turbin,Reg Media
0,energi island,0: energi island,Reg Media
4,wind turbin,4: wind turbin,Reg Media
0,energi island,0: energi island,Reg Media
2,offshor wind,2: offshor wind,Reg Media
2,offshor wind,2: offshor wind,Reg Media
0,energi island,0: energi island,Reg Media
0,energi island,0: energi island,Reg Media
0,energi island,0: energi island,Reg Media
0,energi island,0: energi island,Reg Media
4,wind turbin,4: wind turbin,Reg Media
0,energi island,0: energi island,Reg Media
4,wind turbin,4: wind turbin,Reg Media
0,energi island,0: energi island,Reg Media
6,offshor grid,6: offshor grid,Reg Media
4,wind turbin,4: wind turbin,Reg Media
0,energi island,0: energi island,Reg Media
0,energi island,0: energi island,Reg Media
6,offshor grid,6: offshor grid,Reg Media
5,municip council,5: municip council,Reg Media
0,energi island,0: energi island,Reg Media
0,energi island,0: energi island,Reg Media
0,energi island,0: energi island,Reg Media
3,renew energi,3: renew energi,Reg Media
0,energi island,0: energi island,Reg Media
4,wind turbin,4: wind turbin,Reg Media
4,wind turbin,4: wind turbin,Reg Media
4,wind turbin,4: wind turbin,Reg Media
4,wind turbin,4: wind turbin,Reg Media
5,municip council,5: municip council,Reg Media
0,energi island,0: energi island,Reg Media
0,energi island,0: energi island,Reg Media
4,wind turbin,4: wind turbin,Reg Media
4,wind turbin,4: wind turbin,Reg Media
5,municip council,5: municip council,Reg Media
6,offshor grid,6: offshor grid,Reg Media
6,offshor grid,6: offshor grid,Reg Media
4,wind turbin,4: wind turbin,Reg Media
0,energi island,0: energi island,Reg Media
6,offshor grid,6: offshor grid,Reg Media
3,renew energi,3: renew energi,Reg Media
4,wind turbin,4: wind turbin,Reg Media
0,energi island,0: energi island,Reg Media
0,energi island,0: energi island,Reg Media
5,municip council,5: municip council,Reg Media
5,municip council,5: municip council,Reg Media
2,offshor wind,2: offshor wind,Reg Media
4,wind turbin,4: wind turbin,Reg Media
5,municip council,5: municip council,Reg Media
0,energi island,0: energi island,Reg Media
2,offshor wind,2: offshor wind,Reg Media
0,energi island,0: energi island,Reg Media
5,municip council,5: municip council,Reg Media
5,municip council,5: municip council,Reg Media
4,wind turbin,4: wind turbin,Reg Media
2,offshor wind,2: offshor wind,Reg Media
5,municip council,5: municip council,Reg Media
2,offshor wind,2: offshor wind,Reg Media
3,renew energi,3: renew energi,Reg Media
4,wind turbin,4: wind turbin,Reg Media
5,municip council,5: municip council,Reg Media
0,energi island,0: energi island,Reg Media
2,offshor wind,2: offshor wind,Reg Media
4,wind turbin,4: wind turbin,Reg Media
4,wind turbin,4: wind turbin,Reg Media
4,wind turbin,4: wind turbin,Reg Media
5,municip council,5: municip council,Reg Media
4,wind turbin,4: wind turbin,Reg Media
0,energi island,0: energi island,Reg Media
4,wind turbin,4: wind turbin,Reg Media
0,energi island,0: energi island,Reg Media
6,offshor grid,6: offshor grid,Reg Media
4,wind turbin,4: wind turbin,Reg Media
0,energi island,0: energi island,Reg Media
0,energi island,0: energi island,Reg Media
4,wind turbin,4: wind turbin,Reg Media
4,wind turbin,4: wind turbin,Reg Media
2,offshor wind,2: offshor wind,Reg Media
0,energi island,0: energi island,Reg Media
5,municip council,5: municip council,Reg Media
0,energi island,0: energi island,Reg Media
2,offshor wind,2: offshor wind,Reg Media
4,wind turbin,4: wind turbin,Reg Media
5,municip council,5: municip council,Reg Media
4,wind turbin,4: wind turbin,Reg Media
2,offshor wind,2: offshor wind,Reg Media
5,municip council,5: municip council,Reg Media
5,municip council,5: municip council,Reg Media
2,offshor wind,2: offshor wind,Reg Media
5,municip council,5: municip council,Reg Media
5,municip council,5: municip council,Reg Media
5,municip council,5: municip council,Reg Media
5,municip council,5: municip council,Reg Media
2,offshor wind,2: offshor wind,Reg Media
4,wind turbin,4: wind turbin,Reg Media
4,wind turbin,4: wind turbin,Reg Media
5,municip council,5: municip council,Reg Media
4,wind turbin,4: wind turbin,Reg Media
5,municip council,5: municip council,Reg Media
0,energi island,0: energi island,Reg Media
5,municip council,5: municip council,Reg Media
3,renew energi,3: renew energi,Reg Media
5,municip council,5: municip council,Reg Media
2,offshor wind,2: offshor wind,Reg Media
6,offshor grid,6: offshor grid,Reg Media
0,energi island,0: energi island,Reg Media
5,municip council,5: municip council,Reg Media
5,municip council,5: municip council,Reg Media
4,wind turbin,4: wind turbin,Reg Media
0,energi island,0: energi island,Reg Media
0,energi island,0: energi island,Reg Media
5,municip council,5: municip council,Reg Media
3,renew energi,3: renew energi,Reg Media
5,municip council,5: municip council,Reg Media
5,municip council,5: municip council,Reg Media
4,wind turbin,4: wind turbin,Reg Media
0,energi island,0: energi island,Reg Media
0,energi island,0: energi island,Reg Media
4,wind turbin,4: wind turbin,Reg Media
0,energi island,0: energi island,Reg Media
0,energi island,0: energi island,Reg Media
0,energi island,0: energi island,Reg Media
4,wind turbin,4: wind turbin,Reg Media
2,offshor wind,2: offshor wind,Reg Media
0,energi island,0: energi island,Reg Media
5,municip council,5: municip council,Reg Media
3,renew energi,3: renew energi,Reg Media
5,municip council,5: municip council,Reg Media
0,energi island,0: energi island,Reg Media
4,wind turbin,4: wind turbin,Reg Media
0,energi island,0: energi island,Reg Media
2,offshor wind,2: offshor wind,Reg Media
2,offshor wind,2: offshor wind,Reg Media
5,municip council,5: municip council,Reg Media
4,wind turbin,4: wind turbin,Reg Media
0,energi island,0: energi island,Reg Media
0,energi island,0: energi island,Reg Media
0,energi island,0: energi island,Reg Media
6,offshor grid,6: offshor grid,Reg Media
2,offshor wind,2: offshor wind,Reg Media
0,energi island,0: energi island,Reg Media
5,municip council,5: municip council,Reg Media
5,municip council,5: municip council,Reg Media
0,energi island,0: energi island,Reg Media
0,energi island,0: energi island,Reg Media
0,energi island,0: energi island,Reg Media
0,energi island,0: energi island,Reg Media
0,energi island,0: energi island,Reg Media
0,energi island,0: energi island,Reg Media
0,energi island,0: energi island,Reg Media
0,energi island,0: energi island,Reg Media
0,energi island,0: energi island,Reg Media
4,wind turbin,4: wind turbin,Reg Media
5,municip council,5: municip council,Reg Media
0,energi island,0: energi island,Reg Media
6,offshor grid,6: offshor grid,Reg Media
4,wind turbin,4: wind turbin,Reg Media
4,wind turbin,4: wind turbin,Reg Media
5,municip council,5: municip council,Reg Media
6,offshor grid,6: offshor grid,Reg Media
2,offshor wind,2: offshor wind,Reg Media
0,energi island,0: energi island,Reg Media
5,municip council,5: municip council,Reg Media
5,municip council,5: municip council,Reg Media
6,offshor grid,6: offshor grid,Reg Media
5,municip council,5: municip council,Reg Media
5,municip council,5: municip council,Reg Media
5,municip council,5: municip council,Reg Media
4,wind turbin,4: wind turbin,Reg Media
0,energi island,0: energi island,Reg Media
5,municip council,5: municip council,Reg Media
4,wind turbin,4: wind turbin,Reg Media
5,municip council,5: municip council,Reg Media
5,municip council,5: municip council,Reg Media
5,municip council,5: municip council,Reg Media
2,offshor wind,2: offshor wind,Reg Media
5,municip council,5: municip council,Reg Media
5,municip council,5: municip council,Reg Media
2,offshor wind,2: offshor wind,Reg Media
2,offshor wind,2: offshor wind,Reg Media
2,offshor wind,2: offshor wind,Reg Media
5,municip council,5: municip council,Reg Media
0,energi island,0: energi island,Reg Media
0,energi island,0: energi island,Reg Media
2,offshor wind,2: offshor wind,Reg Media
0,energi island,0: energi island,Reg Media
5,municip council,5: municip council,Reg Media
0,energi island,0: energi island,Reg Media
0,energi island,0: energi island,Reg Media
0,energi island,0: energi island,Reg Media
0,energi island,0: energi island,Reg Media
0,energi island,0: energi island,Reg Media
0,energi island,0: energi island,Reg Media
5,municip council,5: municip council,Reg Media
5,municip council,5: municip council,Reg Media
0,energi island,0: energi island,Reg Media
5,municip council,5: municip council,Reg Media
5,municip council,5: municip council,Reg Media
0,energi island,0: energi island,Reg Media
0,energi island,0: energi island,Reg Media
4,wind turbin,4: wind turbin,Reg Media
4,wind turbin,4: wind turbin,Reg Media
0,energi island,0: energi island,Reg Media
5,municip council,5: municip council,Reg Media
0,energi island,0: energi island,Reg Media
2,offshor wind,2: offshor wind,Reg Media
5,municip council,5: municip council,Reg Media
0,energi island,0: energi island,Reg Media
0,energi island,0: energi island,Reg Media
5,municip council,5: municip council,Reg Media
5,municip council,5: municip council,Reg Media
5,municip council,5: municip council,Reg Media
4,wind turbin,4: wind turbin,Reg Media
4,wind turbin,4: wind turbin,Reg Media
0,energi island,0: energi island,Reg Media
4,wind turbin,4: wind turbin,Reg Media
4,wind turbin,4: wind turbin,Reg Media
4,wind turbin,4: wind turbin,Reg Media
2,offshor wind,2: offshor wind,Reg Media
0,energi island,0: energi island,Reg Media
2,offshor wind,2: offshor wind,Reg Media
2,offshor wind,2: offshor wind,Reg Media
5,municip council,5: municip council,Reg Media
0,energi island,0: energi island,Reg Media
