topic_int,topic_names,labels_layer,Source
2,wind turbin,2: wind turbin,Pro Media
0,energi island,0: energi island,Pro Media
1,offshor wind,1: offshor wind,Pro Media
1,offshor wind,1: offshor wind,Pro Media
1,offshor wind,1: offshor wind,Pro Media
2,wind turbin,2: wind turbin,Pro Media
2,wind turbin,2: wind turbin,Pro Media
0,energi island,0: energi island,Pro Media
2,wind turbin,2: wind turbin,Pro Media
1,offshor wind,1: offshor wind,Pro Media
2,wind turbin,2: wind turbin,Pro Media
2,wind turbin,2: wind turbin,Pro Media
2,wind turbin,2: wind turbin,Pro Media
2,wind turbin,2: wind turbin,Pro Media
2,wind turbin,2: wind turbin,Pro Media
2,wind turbin,2: wind turbin,Pro Media
2,wind turbin,2: wind turbin,Pro Media
2,wind turbin,2: wind turbin,Pro Media
1,offshor wind,1: offshor wind,Pro Media
1,offshor wind,1: offshor wind,Pro Media
0,energi island,0: energi island,Pro Media
0,energi island,0: energi island,Pro Media
1,offshor wind,1: offshor wind,Pro Media
2,wind turbin,2: wind turbin,Pro Media
5,energiø bornholm,5: energiø bornholm,Pro Media
5,energiø bornholm,5: energiø bornholm,Pro Media
2,wind turbin,2: wind turbin,Pro Media
1,offshor wind,1: offshor wind,Pro Media
2,wind turbin,2: wind turbin,Pro Media
5,energiø bornholm,5: energiø bornholm,Pro Media
2,wind turbin,2: wind turbin,Pro Media
2,wind turbin,2: wind turbin,Pro Media
0,energi island,0: energi island,Pro Media
5,energiø bornholm,5: energiø bornholm,Pro Media
2,wind turbin,2: wind turbin,Pro Media
2,wind turbin,2: wind turbin,Pro Media
0,energi island,0: energi island,Pro Media
0,energi island,0: energi island,Pro Media
5,energiø bornholm,5: energiø bornholm,Pro Media
5,energiø bornholm,5: energiø bornholm,Pro Media
0,energi island,0: energi island,Pro Media
2,wind turbin,2: wind turbin,Pro Media
2,wind turbin,2: wind turbin,Pro Media
5,energiø bornholm,5: energiø bornholm,Pro Media
2,wind turbin,2: wind turbin,Pro Media
2,wind turbin,2: wind turbin,Pro Media
2,wind turbin,2: wind turbin,Pro Media
2,wind turbin,2: wind turbin,Pro Media
5,energiø bornholm,5: energiø bornholm,Pro Media
0,energi island,0: energi island,Pro Media
0,energi island,0: energi island,Pro Media
0,energi island,0: energi island,Pro Media
1,offshor wind,1: offshor wind,Pro Media
0,energi island,0: energi island,Pro Media
2,wind turbin,2: wind turbin,Pro Media
2,wind turbin,2: wind turbin,Pro Media
0,energi island,0: energi island,Pro Media
2,wind turbin,2: wind turbin,Pro Media
2,wind turbin,2: wind turbin,Pro Media
2,wind turbin,2: wind turbin,Pro Media
2,wind turbin,2: wind turbin,Pro Media
2,wind turbin,2: wind turbin,Pro Media
5,energiø bornholm,5: energiø bornholm,Pro Media
2,wind turbin,2: wind turbin,Pro Media
2,wind turbin,2: wind turbin,Pro Media
2,wind turbin,2: wind turbin,Pro Media
3,renew energi,3: renew energi,Pro Media
5,energiø bornholm,5: energiø bornholm,Pro Media
3,renew energi,3: renew energi,Pro Media
5,energiø bornholm,5: energiø bornholm,Pro Media
4,offshor grid,4: offshor grid,Pro Media
2,wind turbin,2: wind turbin,Pro Media
2,wind turbin,2: wind turbin,Pro Media
