topic_int,topic_names,labels_layer,Source
8,wind turbin,8: wind turbin,Pro Media
8,wind turbin,8: wind turbin,Pro Media
8,wind turbin,8: wind turbin,Pro Media
8,wind turbin,8: wind turbin,Pro Media
8,wind turbin,8: wind turbin,Pro Media
8,wind turbin,8: wind turbin,Pro Media
8,wind turbin,8: wind turbin,Pro Media
8,wind turbin,8: wind turbin,Pro Media
8,wind turbin,8: wind turbin,Pro Media
8,wind turbin,8: wind turbin,Pro Media
8,wind turbin,8: wind turbin,Pro Media
8,wind turbin,8: wind turbin,Pro Media
8,wind turbin,8: wind turbin,Pro Media
8,wind turbin,8: wind turbin,Pro Media
8,wind turbin,8: wind turbin,Pro Media
8,wind turbin,8: wind turbin,Pro Media
8,wind turbin,8: wind turbin,Pro Media
8,wind turbin,8: wind turbin,Pro Media
8,wind turbin,8: wind turbin,Pro Media
8,wind turbin,8: wind turbin,Pro Media
8,wind turbin,8: wind turbin,Pro Media
8,wind turbin,8: wind turbin,Pro Media
8,wind turbin,8: wind turbin,Pro Media
8,wind turbin,8: wind turbin,Pro Media
8,wind turbin,8: wind turbin,Pro Media
8,wind turbin,8: wind turbin,Pro Media
8,wind turbin,8: wind turbin,Pro Media
8,wind turbin,8: wind turbin,Pro Media
8,wind turbin,8: wind turbin,Pro Media
8,wind turbin,8: wind turbin,Pro Media
8,wind turbin,8: wind turbin,Pro Media
8,wind turbin,8: wind turbin,Pro Media
8,wind turbin,8: wind turbin,Pro Media
8,wind turbin,8: wind turbin,Pro Media
8,wind turbin,8: wind turbin,Pro Media
8,wind turbin,8: wind turbin,Pro Media
8,wind turbin,8: wind turbin,Pro Media
8,wind turbin,8: wind turbin,Pro Media
8,wind turbin,8: wind turbin,Pro Media
8,wind turbin,8: wind turbin,Pro Media
8,wind turbin,8: wind turbin,Pro Media
8,wind turbin,8: wind turbin,Pro Media
8,wind turbin,8: wind turbin,Pro Media
8,wind turbin,8: wind turbin,Pro Media
8,wind turbin,8: wind turbin,Pro Media
8,wind turbin,8: wind turbin,Pro Media
8,wind turbin,8: wind turbin,Pro Media
8,wind turbin,8: wind turbin,Pro Media
8,wind turbin,8: wind turbin,Pro Media
8,wind turbin,8: wind turbin,Pro Media
8,wind turbin,8: wind turbin,Pro Media
8,wind turbin,8: wind turbin,Pro Media
8,wind turbin,8: wind turbin,Pro Media
8,wind turbin,8: wind turbin,Pro Media
8,wind turbin,8: wind turbin,Pro Media
8,wind turbin,8: wind turbin,Pro Media
8,wind turbin,8: wind turbin,Pro Media
8,wind turbin,8: wind turbin,Pro Media
8,wind turbin,8: wind turbin,Pro Media
8,wind turbin,8: wind turbin,Pro Media
8,wind turbin,8: wind turbin,Pro Media
8,wind turbin,8: wind turbin,Pro Media
8,wind turbin,8: wind turbin,Pro Media
8,wind turbin,8: wind turbin,Pro Media
8,wind turbin,8: wind turbin,Pro Media
8,wind turbin,8: wind turbin,Pro Media
8,wind turbin,8: wind turbin,Pro Media
8,wind turbin,8: wind turbin,Pro Media
8,wind turbin,8: wind turbin,Pro Media
8,wind turbin,8: wind turbin,Pro Media
8,wind turbin,8: wind turbin,Pro Media
8,wind turbin,8: wind turbin,Pro Media
8,wind turbin,8: wind turbin,Pro Media
8,wind turbin,8: wind turbin,Pro Media
8,wind turbin,8: wind turbin,Pro Media
8,wind turbin,8: wind turbin,Pro Media
8,wind turbin,8: wind turbin,Pro Media
8,wind turbin,8: wind turbin,Pro Media
8,wind turbin,8: wind turbin,Pro Media
8,wind turbin,8: wind turbin,Pro Media
8,wind turbin,8: wind turbin,Pro Media
8,wind turbin,8: wind turbin,Pro Media
8,wind turbin,8: wind turbin,Pro Media
8,wind turbin,8: wind turbin,Pro Media
8,wind turbin,8: wind turbin,Pro Media
8,wind turbin,8: wind turbin,Pro Media
8,wind turbin,8: wind turbin,Pro Media
8,wind turbin,8: wind turbin,Pro Media
8,wind turbin,8: wind turbin,Pro Media
8,wind turbin,8: wind turbin,Pro Media
8,wind turbin,8: wind turbin,Pro Media
8,wind turbin,8: wind turbin,Pro Media
8,wind turbin,8: wind turbin,Pro Media
8,wind turbin,8: wind turbin,Pro Media
8,wind turbin,8: wind turbin,Pro Media
8,wind turbin,8: wind turbin,Pro Media
8,wind turbin,8: wind turbin,Pro Media
8,wind turbin,8: wind turbin,Pro Media
8,wind turbin,8: wind turbin,Pro Media
8,wind turbin,8: wind turbin,Pro Media
8,wind turbin,8: wind turbin,Pro Media
8,wind turbin,8: wind turbin,Pro Media
8,wind turbin,8: wind turbin,Pro Media
8,wind turbin,8: wind turbin,Pro Media
8,wind turbin,8: wind turbin,Pro Media
8,wind turbin,8: wind turbin,Pro Media
8,wind turbin,8: wind turbin,Pro Media
8,wind turbin,8: wind turbin,Pro Media
8,wind turbin,8: wind turbin,Pro Media
8,wind turbin,8: wind turbin,Pro Media
8,wind turbin,8: wind turbin,Pro Media
8,wind turbin,8: wind turbin,Pro Media
8,wind turbin,8: wind turbin,Pro Media
8,wind turbin,8: wind turbin,Pro Media
8,wind turbin,8: wind turbin,Pro Media
8,wind turbin,8: wind turbin,Pro Media
8,wind turbin,8: wind turbin,Pro Media
8,wind turbin,8: wind turbin,Pro Media
8,wind turbin,8: wind turbin,Pro Media
8,wind turbin,8: wind turbin,Pro Media
8,wind turbin,8: wind turbin,Pro Media
8,wind turbin,8: wind turbin,Pro Media
8,wind turbin,8: wind turbin,Pro Media
8,wind turbin,8: wind turbin,Pro Media
8,wind turbin,8: wind turbin,Pro Media
8,wind turbin,8: wind turbin,Pro Media
8,wind turbin,8: wind turbin,Pro Media
8,wind turbin,8: wind turbin,Pro Media
8,wind turbin,8: wind turbin,Pro Media
8,wind turbin,8: wind turbin,Pro Media
8,wind turbin,8: wind turbin,Pro Media
8,wind turbin,8: wind turbin,Pro Media
8,wind turbin,8: wind turbin,Pro Media
8,wind turbin,8: wind turbin,Pro Media
8,wind turbin,8: wind turbin,Pro Media
8,wind turbin,8: wind turbin,Pro Media
8,wind turbin,8: wind turbin,Pro Media
8,wind turbin,8: wind turbin,Pro Media
8,wind turbin,8: wind turbin,Pro Media
8,wind turbin,8: wind turbin,Pro Media
8,wind turbin,8: wind turbin,Pro Media
8,wind turbin,8: wind turbin,Pro Media
8,wind turbin,8: wind turbin,Pro Media
8,wind turbin,8: wind turbin,Pro Media
8,wind turbin,8: wind turbin,Pro Media
8,wind turbin,8: wind turbin,Pro Media
8,wind turbin,8: wind turbin,Pro Media
8,wind turbin,8: wind turbin,Pro Media
