topic_int,topic_names,Source
2,social democraci,Reg Media
6,busi park,Reg Media
6,busi park,Reg Media
4,energiø bornholm,Reg Media
5,north sea,Reg Media
8,wind farm,Reg Media
5,north sea,Reg Media
0,energi island,Reg Media
0,energi island,Reg Media
4,energiø bornholm,Reg Media
9,municip council,Reg Media
0,energi island,Reg Media
0,energi island,Reg Media
8,wind farm,Reg Media
4,energiø bornholm,Reg Media
4,energiø bornholm,Reg Media
4,energiø bornholm,Reg Media
0,energi island,Reg Media
0,energi island,Reg Media
6,busi park,Reg Media
4,energiø bornholm,Reg Media
4,energiø bornholm,Reg Media
0,energi island,Reg Media
4,energiø bornholm,Reg Media
8,wind farm,Reg Media
4,energiø bornholm,Reg Media
0,energi island,Reg Media
8,wind farm,Reg Media
9,municip council,Reg Media
4,energiø bornholm,Reg Media
9,municip council,Reg Media
9,municip council,Reg Media
4,energiø bornholm,Reg Media
6,busi park,Reg Media
1,offshor wind,Reg Media
6,busi park,Reg Media
7,baltic sea,Reg Media
4,energiø bornholm,Reg Media
5,north sea,Reg Media
5,north sea,Reg Media
1,offshor wind,Reg Media
8,wind farm,Reg Media
6,busi park,Reg Media
4,energiø bornholm,Reg Media
9,municip council,Reg Media
4,energiø bornholm,Reg Media
4,energiø bornholm,Reg Media
0,energi island,Reg Media
4,energiø bornholm,Reg Media
6,busi park,Reg Media
0,energi island,Reg Media
0,energi island,Reg Media
0,energi island,Reg Media
9,municip council,Reg Media
0,energi island,Reg Media
3,wind turbin,Reg Media
0,energi island,Reg Media
0,energi island,Reg Media
3,wind turbin,Reg Media
3,wind turbin,Reg Media
5,north sea,Reg Media
0,energi island,Reg Media
7,baltic sea,Reg Media
3,wind turbin,Reg Media
2,social democraci,Reg Media
5,north sea,Reg Media
0,energi island,Reg Media
4,energiø bornholm,Reg Media
5,north sea,Reg Media
3,wind turbin,Reg Media
2,social democraci,Reg Media
2,social democraci,Reg Media
0,energi island,Reg Media
0,energi island,Reg Media
7,baltic sea,Reg Media
6,busi park,Reg Media
6,busi park,Reg Media
7,baltic sea,Reg Media
9,municip council,Reg Media
2,social democraci,Reg Media
2,social democraci,Reg Media
2,social democraci,Reg Media
7,baltic sea,Reg Media
0,energi island,Reg Media
1,offshor wind,Reg Media
4,energiø bornholm,Reg Media
4,energiø bornholm,Reg Media
6,busi park,Reg Media
4,energiø bornholm,Reg Media
4,energiø bornholm,Reg Media
5,north sea,Reg Media
0,energi island,Reg Media
6,busi park,Reg Media
0,energi island,Reg Media
6,busi park,Reg Media
0,energi island,Reg Media
2,social democraci,Reg Media
0,energi island,Reg Media
0,energi island,Reg Media
9,municip council,Reg Media
0,energi island,Reg Media
5,north sea,Reg Media
5,north sea,Reg Media
6,busi park,Reg Media
0,energi island,Reg Media
7,baltic sea,Reg Media
1,offshor wind,Reg Media
6,busi park,Reg Media
7,baltic sea,Reg Media
9,municip council,Reg Media
5,north sea,Reg Media
0,energi island,Reg Media
0,energi island,Reg Media
0,energi island,Reg Media
1,offshor wind,Reg Media
2,social democraci,Reg Media
2,social democraci,Reg Media
6,busi park,Reg Media
0,energi island,Reg Media
4,energiø bornholm,Reg Media
0,energi island,Reg Media
7,baltic sea,Reg Media
5,north sea,Reg Media
7,baltic sea,Reg Media
6,busi park,Reg Media
7,baltic sea,Reg Media
7,baltic sea,Reg Media
7,baltic sea,Reg Media
3,wind turbin,Reg Media
8,wind farm,Reg Media
6,busi park,Reg Media
1,offshor wind,Reg Media
8,wind farm,Reg Media
7,baltic sea,Reg Media
2,social democraci,Reg Media
9,municip council,Reg Media
6,busi park,Reg Media
8,wind farm,Reg Media
8,wind farm,Reg Media
8,wind farm,Reg Media
4,energiø bornholm,Reg Media
0,energi island,Reg Media
8,wind farm,Reg Media
4,energiø bornholm,Reg Media
4,energiø bornholm,Reg Media
4,energiø bornholm,Reg Media
8,wind farm,Reg Media
6,busi park,Reg Media
9,municip council,Reg Media
0,energi island,Reg Media
0,energi island,Reg Media
0,energi island,Reg Media
3,wind turbin,Reg Media
9,municip council,Reg Media
1,offshor wind,Reg Media
5,north sea,Reg Media
5,north sea,Reg Media
5,north sea,Reg Media
3,wind turbin,Reg Media
6,busi park,Reg Media
3,wind turbin,Reg Media
9,municip council,Reg Media
7,baltic sea,Reg Media
9,municip council,Reg Media
7,baltic sea,Reg Media
6,busi park,Reg Media
7,baltic sea,Reg Media
1,offshor wind,Reg Media
0,energi island,Reg Media
4,energiø bornholm,Reg Media
8,wind farm,Reg Media
4,energiø bornholm,Reg Media
8,wind farm,Reg Media
7,baltic sea,Reg Media
9,municip council,Reg Media
0,energi island,Reg Media
0,energi island,Reg Media
9,municip council,Reg Media
7,baltic sea,Reg Media
7,baltic sea,Reg Media
8,wind farm,Reg Media
9,municip council,Reg Media
6,busi park,Reg Media
6,busi park,Reg Media
4,energiø bornholm,Reg Media
7,baltic sea,Reg Media
5,north sea,Reg Media
8,wind farm,Reg Media
5,north sea,Reg Media
4,energiø bornholm,Reg Media
3,wind turbin,Reg Media
8,wind farm,Reg Media
2,social democraci,Reg Media
1,offshor wind,Reg Media
4,energiø bornholm,Reg Media
1,offshor wind,Reg Media
7,baltic sea,Reg Media
6,busi park,Reg Media
0,energi island,Reg Media
1,offshor wind,Reg Media
1,offshor wind,Reg Media
3,wind turbin,Reg Media
2,social democraci,Reg Media
3,wind turbin,Reg Media
4,energiø bornholm,Reg Media
1,offshor wind,Reg Media
7,baltic sea,Reg Media
2,social democraci,Reg Media
8,wind farm,Reg Media
7,baltic sea,Reg Media
6,busi park,Reg Media
3,wind turbin,Reg Media
7,baltic sea,Reg Media
9,municip council,Reg Media
2,social democraci,Reg Media
3,wind turbin,Reg Media
2,social democraci,Reg Media
1,offshor wind,Reg Media
3,wind turbin,Reg Media
2,social democraci,Reg Media
7,baltic sea,Reg Media
6,busi park,Reg Media
0,energi island,Reg Media
6,busi park,Reg Media
2,social democraci,Reg Media
4,energiø bornholm,Reg Media
6,busi park,Reg Media
9,municip council,Reg Media
2,social democraci,Reg Media
7,baltic sea,Reg Media
3,wind turbin,Reg Media
9,municip council,Reg Media
1,offshor wind,Reg Media
2,social democraci,Reg Media
2,social democraci,Reg Media
9,municip council,Reg Media
6,busi park,Reg Media
8,wind farm,Reg Media
5,north sea,Reg Media
2,social democraci,Reg Media
2,social democraci,Reg Media
2,social democraci,Reg Media
0,energi island,Reg Media
2,social democraci,Reg Media
5,north sea,Reg Media
2,social democraci,Reg Media
3,wind turbin,Reg Media
8,wind farm,Reg Media
8,wind farm,Reg Media
8,wind farm,Reg Media
2,social democraci,Reg Media
2,social democraci,Reg Media
2,social democraci,Reg Media
8,wind farm,Reg Media
5,north sea,Reg Media
4,energiø bornholm,Reg Media
0,energi island,Reg Media
4,energiø bornholm,Reg Media
7,baltic sea,Reg Media
3,wind turbin,Reg Media
1,offshor wind,Reg Media
0,energi island,Reg Media
6,busi park,Reg Media
8,wind farm,Reg Media
2,social democraci,Reg Media
6,busi park,Reg Media
4,energiø bornholm,Reg Media
5,north sea,Reg Media
3,wind turbin,Reg Media
6,busi park,Reg Media
5,north sea,Reg Media
3,wind turbin,Reg Media
9,municip council,Reg Media
6,busi park,Reg Media
5,north sea,Reg Media
7,baltic sea,Reg Media
7,baltic sea,Reg Media
1,offshor wind,Reg Media
9,municip council,Reg Media
6,busi park,Reg Media
3,wind turbin,Reg Media
2,social democraci,Reg Media
2,social democraci,Reg Media
9,municip council,Reg Media
4,energiø bornholm,Reg Media
9,municip council,Reg Media
7,baltic sea,Reg Media
5,north sea,Reg Media
6,busi park,Reg Media
4,energiø bornholm,Reg Media
4,energiø bornholm,Reg Media
2,social democraci,Reg Media
7,baltic sea,Reg Media
7,baltic sea,Reg Media
3,wind turbin,Reg Media
6,busi park,Reg Media
5,north sea,Reg Media
3,wind turbin,Reg Media
4,energiø bornholm,Reg Media
3,wind turbin,Reg Media
9,municip council,Reg Media
4,energiø bornholm,Reg Media
3,wind turbin,Reg Media
5,north sea,Reg Media
9,municip council,Reg Media
7,baltic sea,Reg Media
4,energiø bornholm,Reg Media
9,municip council,Reg Media
3,wind turbin,Reg Media
9,municip council,Reg Media
2,social democraci,Reg Media
9,municip council,Reg Media
5,north sea,Reg Media
6,busi park,Reg Media
6,busi park,Reg Media
4,energiø bornholm,Reg Media
6,busi park,Reg Media
5,north sea,Reg Media
3,wind turbin,Reg Media
9,municip council,Reg Media
0,energi island,Reg Media
7,baltic sea,Reg Media
0,energi island,Reg Media
1,offshor wind,Reg Media
0,energi island,Reg Media
4,energiø bornholm,Reg Media
7,baltic sea,Reg Media
7,baltic sea,Reg Media
2,social democraci,Reg Media
6,busi park,Reg Media
7,baltic sea,Reg Media
2,social democraci,Reg Media
6,busi park,Reg Media
6,busi park,Reg Media
7,baltic sea,Reg Media
0,energi island,Reg Media
2,social democraci,Reg Media
2,social democraci,Reg Media
5,north sea,Reg Media
5,north sea,Reg Media
5,north sea,Reg Media
7,baltic sea,Reg Media
5,north sea,Reg Media
6,busi park,Reg Media
7,baltic sea,Reg Media
2,social democraci,Reg Media
3,wind turbin,Reg Media
3,wind turbin,Reg Media
0,energi island,Reg Media
6,busi park,Reg Media
6,busi park,Reg Media
6,busi park,Reg Media
4,energiø bornholm,Reg Media
6,busi park,Reg Media
9,municip council,Reg Media
6,busi park,Reg Media
7,baltic sea,Reg Media
5,north sea,Reg Media
7,baltic sea,Reg Media
4,energiø bornholm,Reg Media
9,municip council,Reg Media
7,baltic sea,Reg Media
7,baltic sea,Reg Media
9,municip council,Reg Media
7,baltic sea,Reg Media
7,baltic sea,Reg Media
7,baltic sea,Reg Media
0,energi island,Reg Media
7,baltic sea,Reg Media
6,busi park,Reg Media
5,north sea,Reg Media
9,municip council,Reg Media
8,wind farm,Reg Media
5,north sea,Reg Media
7,baltic sea,Reg Media
6,busi park,Reg Media
5,north sea,Reg Media
5,north sea,Reg Media
2,social democraci,Reg Media
1,offshor wind,Reg Media
6,busi park,Reg Media
7,baltic sea,Reg Media
6,busi park,Reg Media
2,social democraci,Reg Media
2,social democraci,Reg Media
0,energi island,Reg Media
4,energiø bornholm,Reg Media
6,busi park,Reg Media
0,energi island,Reg Media
1,offshor wind,Reg Media
9,municip council,Reg Media
4,energiø bornholm,Reg Media
4,energiø bornholm,Reg Media
0,energi island,Reg Media
2,social democraci,Reg Media
2,social democraci,Reg Media
6,busi park,Reg Media
5,north sea,Reg Media
7,baltic sea,Reg Media
2,social democraci,Reg Media
9,municip council,Reg Media
8,wind farm,Reg Media
2,social democraci,Reg Media
0,energi island,Reg Media
2,social democraci,Reg Media
0,energi island,Reg Media
0,energi island,Reg Media
7,baltic sea,Reg Media
2,social democraci,Reg Media
0,energi island,Reg Media
5,north sea,Reg Media
1,offshor wind,Reg Media
1,offshor wind,Reg Media
1,offshor wind,Reg Media
3,wind turbin,Reg Media
1,offshor wind,Reg Media
5,north sea,Reg Media
2,social democraci,Reg Media
2,social democraci,Reg Media
9,municip council,Reg Media
2,social democraci,Reg Media
9,municip council,Reg Media
9,municip council,Reg Media
1,offshor wind,Reg Media
5,north sea,Reg Media
2,social democraci,Reg Media
2,social democraci,Reg Media
1,offshor wind,Reg Media
4,energiø bornholm,Reg Media
5,north sea,Reg Media
6,busi park,Reg Media
6,busi park,Reg Media
3,wind turbin,Reg Media
5,north sea,Reg Media
5,north sea,Reg Media
5,north sea,Reg Media
1,offshor wind,Reg Media
6,busi park,Reg Media
2,social democraci,Reg Media
6,busi park,Reg Media
5,north sea,Reg Media
6,busi park,Reg Media
6,busi park,Reg Media
2,social democraci,Reg Media
2,social democraci,Reg Media
2,social democraci,Reg Media
2,social democraci,Reg Media
5,north sea,Reg Media
6,busi park,Reg Media
5,north sea,Reg Media
5,north sea,Reg Media
7,baltic sea,Reg Media
5,north sea,Reg Media
8,wind farm,Reg Media
5,north sea,Reg Media
2,social democraci,Reg Media
5,north sea,Reg Media
5,north sea,Reg Media
5,north sea,Reg Media
4,energiø bornholm,Reg Media
5,north sea,Reg Media
0,energi island,Reg Media
1,offshor wind,Reg Media
3,wind turbin,Reg Media
6,busi park,Reg Media
5,north sea,Reg Media
9,municip council,Reg Media
4,energiø bornholm,Reg Media
0,energi island,Reg Media
0,energi island,Reg Media
1,offshor wind,Reg Media
0,energi island,Reg Media
2,social democraci,Reg Media
1,offshor wind,Reg Media
2,social democraci,Reg Media
9,municip council,Reg Media
1,offshor wind,Reg Media
1,offshor wind,Reg Media
3,wind turbin,Reg Media
0,energi island,Reg Media
1,offshor wind,Reg Media
1,offshor wind,Reg Media
2,social democraci,Reg Media
5,north sea,Reg Media
8,wind farm,Reg Media
2,social democraci,Reg Media
4,energiø bornholm,Reg Media
0,energi island,Reg Media
5,north sea,Reg Media
2,social democraci,Reg Media
0,energi island,Reg Media
